Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,17.299999,18.799999,16.50,17.799999,1212500,17.799999
2017-03-09,18.10,18.15,17.049999,17.299999,1138300,17.299999
2017-03-08,18.15,18.33,17.75,18.15,389000,18.15
2017-03-07,17.950001,18.25,17.75,18.15,612700,18.15
2017-03-06,18.25,18.40,17.75,17.90,498500,17.90
2017-03-03,19.50,19.549999,18.00,18.200001,668300,18.200001
2017-03-02,18.799999,19.85,18.65,19.549999,1140700,19.549999
2017-03-01,20.15,20.25,18.299999,19.049999,1060000,19.049999
2017-02-28,20.35,20.35,19.549999,19.85,345200,19.85
2017-02-27,20.15,20.65,20.10,20.40,557300,20.40
2017-02-24,19.60,20.74,19.450001,20.200001,579600,20.200001
2017-02-23,20.950001,21.129999,19.58,19.65,1056900,19.65
2017-02-22,21.40,21.549999,20.950001,21.200001,339900,21.200001
2017-02-21,21.049999,21.450001,20.85,21.299999,545900,21.299999
2017-02-17,21.00,21.049999,20.450001,20.85,749400,20.85
2017-02-16,21.450001,21.690001,20.85,21.049999,526000,21.049999
2017-02-15,21.200001,21.65,21.049999,21.549999,416300,21.549999
2017-02-14,20.75,21.35,20.75,21.299999,408100,21.299999
2017-02-13,21.75,21.85,20.75,20.85,628700,20.85
2017-02-10,21.40,21.65,21.15,21.549999,409600,21.549999
2017-02-09,20.799999,21.50,20.799999,21.200001,612500,21.200001
2017-02-08,20.200001,20.879999,20.049999,20.799999,473300,20.799999
2017-02-07,20.25,20.50,20.049999,20.200001,571700,20.200001
2017-02-06,20.35,20.40,19.90,20.299999,532000,20.299999
2017-02-03,21.00,21.450001,20.299999,20.35,483000,20.35
2017-02-02,21.049999,21.75,20.700001,21.049999,894900,21.049999
2017-02-01,21.25,21.40,20.700001,21.10,484500,21.10
2017-01-31,20.35,21.40,20.10,21.15,519000,21.15
2017-01-30,20.40,20.90,20.10,20.60,368700,20.60
2017-01-27,21.00,21.00,20.35,20.549999,339800,20.549999
2017-01-26,21.450001,21.459999,20.85,20.950001,445500,20.950001
2017-01-25,21.60,21.65,21.200001,21.450001,218400,21.450001
2017-01-24,21.049999,21.469999,20.98,21.35,287300,21.35
2017-01-23,21.049999,21.40,20.75,20.950001,286800,20.950001
2017-01-20,21.10,21.40,20.950001,21.15,267200,21.15
2017-01-19,21.700001,21.75,20.65,21.049999,358100,21.049999
2017-01-18,21.799999,21.950001,21.00,21.65,565000,21.65
2017-01-17,21.50,22.50,21.40,21.75,586000,21.75
2017-01-13,21.40,21.75,21.299999,21.50,374200,21.50
2017-01-12,21.90,22.030001,21.25,21.299999,525300,21.299999
2017-01-11,22.35,22.549999,21.65,21.950001,540900,21.950001
2017-01-10,22.85,24.049999,22.60,23.35,948600,22.350001
2017-01-09,22.35,22.799999,22.049999,22.75,691200,21.775696
2017-01-06,22.60,22.75,21.85,22.00,703400,21.057816
2017-01-05,23.50,23.50,22.049999,22.50,774200,21.536403
2017-01-04,23.60,24.08,23.549999,23.799999,504900,22.780728
2017-01-03,23.15,23.549999,22.85,23.40,484700,22.397859
2016-12-30,22.85,23.299999,22.65,22.799999,380400,21.823554
2016-12-29,23.15,23.60,22.50,22.75,376400,21.775696
2016-12-28,23.10,23.35,22.700001,23.049999,389400,22.062848
2016-12-27,22.40,23.15,22.40,22.950001,337100,21.967132
2016-12-23,22.15,22.799999,22.15,22.299999,356600,21.344968
2016-12-22,23.450001,23.50,22.129999,22.15,447000,21.201392
2016-12-21,24.15,24.25,23.549999,23.60,260400,22.589294
2016-12-20,23.65,24.40,23.65,24.299999,340000,23.259315
2016-12-19,23.60,24.049999,23.299999,23.450001,485400,22.445719
2016-12-16,23.90,24.15,23.25,23.40,864800,22.397859
2016-12-15,24.549999,24.85,23.799999,24.00,379500,22.972163
2016-12-14,24.799999,24.799999,24.10,24.450001,398900,23.402892
2016-12-13,24.950001,25.049999,23.85,24.75,570400,23.690043
2016-12-12,25.549999,25.85,24.450001,24.85,520800,23.785761
2016-12-09,26.450001,26.60,25.700001,25.799999,609800,24.695075
2016-12-08,26.450001,27.10,26.450001,26.549999,484200,25.412955
2016-12-07,25.65,26.450001,25.25,26.450001,468000,25.317239
2016-12-06,24.549999,25.700001,24.35,25.65,755300,24.551499
2016-12-05,24.450001,24.950001,24.15,24.50,553100,23.45075
2016-12-02,24.50,25.00,24.10,24.25,373600,23.211457
2016-12-01,25.10,25.450001,24.50,24.75,803100,23.690043
2016-11-30,25.40,25.549999,24.90,25.299999,566000,24.216488
2016-11-29,25.25,25.75,25.00,25.450001,412600,24.360065
2016-11-28,25.65,25.799999,25.200001,25.35,339100,24.264348
2016-11-25,26.00,26.15,25.549999,25.65,188000,24.551499
2016-11-23,25.60,26.049999,25.35,25.90,297600,24.790792
2016-11-22,25.25,26.35,25.25,25.85,443300,24.742934
2016-11-21,24.25,25.950001,24.25,24.950001,900200,23.881479
2016-11-18,22.700001,25.00,22.549999,24.25,994300,23.211457
2016-11-17,23.50,23.799999,23.25,23.75,451200,22.73287
2016-11-16,23.60,23.799999,23.10,23.50,319300,22.493576
2016-11-15,24.200001,24.200001,22.700001,23.60,506400,22.589294
2016-11-14,23.700001,25.299999,23.700001,24.15,750700,23.115739
2016-11-11,22.60,23.60,22.35,23.50,512400,22.493576
2016-11-10,21.950001,23.60,21.90,22.65,725600,21.679979
2016-11-09,20.35,21.85,20.059999,21.60,393300,20.674947
2016-11-08,20.700001,20.950001,20.15,20.700001,486000,19.813491
2016-11-07,20.549999,20.85,20.450001,20.65,708200,19.765632
2016-11-04,20.00,20.950001,20.00,20.35,351200,19.47848
2016-11-03,20.200001,20.549999,19.950001,20.049999,466400,19.191327
2016-11-02,20.10,20.950001,20.10,20.35,504300,19.47848
2016-11-01,20.85,20.85,19.950001,20.10,823900,19.239187
2016-10-31,20.90,21.15,20.00,20.85,1385200,19.957067
2016-10-28,20.90,21.35,20.65,20.950001,281300,20.052785
2016-10-27,21.450001,21.549999,20.85,21.00,247200,20.100643
2016-10-26,21.40,21.799999,21.35,21.40,235500,20.483512
2016-10-25,21.50,21.75,21.25,21.50,437600,20.57923
2016-10-24,21.049999,21.75,21.00,21.700001,358900,20.770665
2016-10-21,20.85,21.200001,20.60,21.00,526400,20.100643
2016-10-20,21.549999,21.700001,21.10,21.10,267800,20.196361
2016-10-19,21.299999,21.700001,21.200001,21.549999,338200,20.627087
2016-10-18,21.60,21.60,21.10,21.299999,278500,20.387794
2016-10-17,21.700001,21.950001,21.40,21.450001,422300,20.531372
2016-10-14,21.60,21.75,21.450001,21.65,370800,20.722805
2016-10-13,21.389999,21.620001,21.110001,21.450001,488000,20.531372
2016-10-12,21.190001,21.67,21.07,21.450001,307900,20.531372
2016-10-11,21.59,21.709999,21.08,21.43,500900,20.272934
2016-10-10,21.290001,22.219999,21.24,21.629999,730100,20.462135
2016-10-07,21.459999,21.91,21.16,21.200001,1164900,20.055353
2016-10-06,23.59,23.59,20.85,21.24,1924000,20.093193
2016-10-05,23.469999,23.75,23.24,23.65,364800,22.37307
2016-10-04,23.549999,23.65,23.08,23.33,495000,22.070348
2016-10-03,24.030001,24.030001,23.32,23.450001,405700,22.183869
2016-09-30,23.83,24.27,23.67,24.030001,359800,22.732553
2016-09-29,23.84,24.209999,23.65,23.67,265600,22.39199
2016-09-28,24.280001,24.41,23.68,23.84,344600,22.552812
2016-09-27,24.620001,24.799999,24.200001,24.290001,291300,22.978516
2016-09-26,25.01,25.030001,24.57,24.610001,182800,23.281238
2016-09-23,24.92,25.41,24.92,25.00,201000,23.65018
2016-09-22,24.49,25.059999,24.299999,25.030001,387200,23.678561
2016-09-21,24.309999,24.440001,23.799999,24.309999,321300,22.997434
2016-09-20,24.780001,24.85,24.17,24.18,303100,22.874454
2016-09-19,24.799999,25.040001,24.60,24.73,195600,23.394757
2016-09-16,24.77,25.07,24.65,24.76,500500,23.423138
2016-09-15,24.27,24.870001,24.24,24.799999,325900,23.460978
2016-09-14,24.690001,24.959999,24.209999,24.379999,295500,23.063655
2016-09-13,24.65,24.98,24.280001,24.610001,362600,23.281238
2016-09-12,24.09,24.860001,24.09,24.76,421600,23.423138
2016-09-09,24.129999,24.52,24.10,24.16,384600,22.855534
2016-09-08,24.34,24.469999,23.99,24.370001,255700,23.054196
2016-09-07,24.379999,24.51,24.01,24.50,317600,23.177176
2016-09-06,24.77,24.780001,24.10,24.32,422300,23.006895
2016-09-02,24.67,24.860001,24.360001,24.719999,539300,23.385297
2016-09-01,25.15,25.67,24.07,24.67,888500,23.337998
2016-08-31,26.309999,26.50,25.58,25.77,457900,24.378606
2016-08-30,26.74,26.91,26.219999,26.25,381900,24.832689
2016-08-29,26.82,27.08,26.559999,26.959999,216500,25.504353
2016-08-26,26.98,27.48,26.59,26.82,289300,25.371913
2016-08-25,27.18,27.51,26.809999,26.959999,251600,25.504353
2016-08-24,27.469999,27.469999,27.08,27.200001,349300,25.731396
2016-08-23,27.73,27.90,27.52,27.620001,307500,26.128719
2016-08-22,28.08,28.190001,27.049999,27.51,748600,26.024658
2016-08-19,26.75,28.67,25.610001,28.26,1353800,26.734163
2016-08-18,26.299999,27.16,26.129999,26.950001,789200,25.494895
2016-08-17,26.440001,26.709999,25.959999,26.15,470400,24.738088
2016-08-16,26.83,27.18,26.52,26.540001,469200,25.107032
2016-08-15,26.10,26.85,26.10,26.83,517900,25.381373
2016-08-12,25.450001,26.01,25.370001,25.99,425000,24.586727
2016-08-11,25.68,26.68,25.299999,25.459999,547300,24.085342
2016-08-10,25.41,25.85,25.200001,25.25,233300,23.886682
