Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,8.50,8.85,8.45,8.60,858300,8.60
2017-03-09,9.05,9.10,8.45,8.50,1138500,8.50
2017-03-08,8.90,9.15,8.85,9.00,799200,9.00
2017-03-07,8.95,9.07,8.85,8.90,933700,8.90
2017-03-06,8.95,9.25,8.90,9.00,986300,9.00
2017-03-03,9.00,9.15,8.80,8.95,1219300,8.95
2017-03-02,9.55,9.60,9.00,9.05,2001200,9.05
2017-03-01,9.95,10.00,9.65,9.90,990900,9.90
2017-02-28,10.10,10.10,9.65,9.80,937000,9.80
2017-02-27,10.15,10.30,9.95,10.20,976100,10.20
2017-02-24,10.00,10.40,9.90,10.25,608500,10.25
2017-02-23,10.50,10.50,10.00,10.05,752400,10.05
2017-02-22,10.60,10.65,10.35,10.45,368800,10.45
2017-02-21,10.60,10.70,10.45,10.60,747200,10.60
2017-02-17,10.40,10.60,10.35,10.50,364300,10.50
2017-02-16,10.85,10.85,10.35,10.45,410200,10.45
2017-02-15,10.60,10.85,10.57,10.80,326700,10.80
2017-02-14,10.60,10.80,10.55,10.65,456200,10.65
2017-02-13,10.85,10.90,10.50,10.65,338900,10.65
2017-02-10,10.85,10.95,10.60,10.85,569900,10.85
2017-02-09,10.40,10.78,10.35,10.70,823000,10.70
2017-02-08,9.80,10.40,9.80,10.35,783000,10.35
2017-02-07,10.05,10.15,9.80,9.85,583000,9.85
2017-02-06,10.15,10.35,9.95,10.05,520100,10.05
2017-02-03,10.15,10.35,10.05,10.15,638700,10.15
2017-02-02,9.95,10.13,9.85,10.00,495000,10.00
2017-02-01,10.30,10.35,9.90,10.05,885100,10.05
2017-01-31,9.90,10.30,9.75,10.20,1066100,10.20
2017-01-30,9.95,10.10,9.80,10.00,773600,10.00
2017-01-27,10.15,10.15,9.85,10.00,933000,10.00
2017-01-26,10.75,10.85,10.05,10.10,1774800,10.10
2017-01-25,10.80,11.00,10.75,10.80,476700,10.80
2017-01-24,10.70,10.80,10.50,10.65,890400,10.65
2017-01-23,10.75,10.85,10.50,10.65,588800,10.65
2017-01-20,11.45,11.65,10.66,10.75,1369200,10.75
2017-01-19,11.30,11.45,11.05,11.45,902500,11.45
2017-01-18,11.45,11.45,11.10,11.35,696800,11.35
2017-01-17,11.10,11.80,11.05,11.45,724400,11.45
2017-01-13,11.10,11.30,10.95,11.10,244600,11.10
2017-01-12,11.15,11.25,10.83,11.10,660800,11.10
2017-01-11,11.30,11.35,11.00,11.15,694800,11.15
2017-01-10,10.80,11.50,10.75,11.30,1065900,11.30
2017-01-09,10.65,10.90,10.45,10.80,1061500,10.80
2017-01-06,10.75,10.95,10.50,10.70,1059400,10.70
2017-01-05,11.25,11.28,10.50,10.65,2497600,10.65
2017-01-04,11.30,11.50,11.15,11.40,837800,11.40
2017-01-03,11.40,11.60,11.25,11.35,779400,11.200001
2016-12-30,11.55,11.55,11.10,11.15,602200,11.002643
2016-12-29,11.75,12.00,11.35,11.50,564400,11.348018
2016-12-28,11.90,12.00,11.55,11.75,472200,11.594714
2016-12-27,12.00,12.15,11.85,11.95,418500,11.792071
2016-12-23,12.20,12.35,11.80,12.00,501800,11.84141
2016-12-22,12.65,12.65,12.05,12.15,652800,11.989427
2016-12-21,12.65,12.85,12.40,12.60,357600,12.433481
2016-12-20,12.70,12.95,12.60,12.70,377900,12.532159
2016-12-19,12.70,12.90,12.55,12.65,422900,12.482819
2016-12-16,12.35,12.70,12.31,12.60,1262800,12.433481
2016-12-15,12.40,12.70,12.20,12.40,608700,12.236123
2016-12-14,12.70,12.70,12.18,12.30,618500,12.137445
2016-12-13,12.55,12.75,12.27,12.65,751200,12.482819
2016-12-12,13.00,13.05,12.30,12.55,640100,12.384141
2016-12-09,13.10,13.20,12.80,13.10,977300,12.926873
2016-12-08,12.95,13.20,12.70,13.15,699700,12.976211
2016-12-07,12.55,13.00,12.41,12.95,554900,12.778855
2016-12-06,12.50,12.70,12.35,12.65,573000,12.482819
2016-12-05,12.30,12.70,12.20,12.60,493200,12.433481
2016-12-02,12.45,12.58,12.10,12.20,451600,12.038767
2016-12-01,12.55,12.80,12.20,12.40,776700,12.236123
2016-11-30,12.55,12.85,12.35,12.60,611000,12.433481
2016-11-29,12.60,12.85,12.45,12.55,552700,12.384141
2016-11-28,12.85,12.85,12.40,12.65,683200,12.482819
2016-11-25,13.00,13.00,12.80,12.95,431400,12.778855
2016-11-23,12.75,13.00,12.60,12.95,1176100,12.778855
2016-11-22,12.20,12.95,12.10,12.65,2285500,12.482819
2016-11-21,11.85,11.95,11.20,11.45,1849100,11.298678
2016-11-18,11.85,12.13,11.60,11.65,1001000,11.496035
2016-11-17,11.80,11.95,11.70,11.90,503400,11.742731
2016-11-16,11.60,12.15,11.50,11.80,778000,11.644053
2016-11-15,11.80,11.90,11.25,11.90,728800,11.742731
2016-11-14,11.35,11.95,11.30,11.80,856500,11.644053
2016-11-11,11.05,11.35,10.83,11.25,871700,11.101322
2016-11-10,10.60,11.20,10.55,10.95,1099300,10.805286
2016-11-09,9.75,10.55,9.70,10.45,694200,10.311894
2016-11-08,10.10,10.10,9.80,10.05,272700,9.917181
2016-11-07,9.80,10.15,9.80,10.05,495200,9.917181
2016-11-04,9.55,10.15,9.50,9.65,666600,9.522467
2016-11-03,9.70,9.85,9.40,9.50,656500,9.37445
2016-11-02,9.95,10.00,9.55,9.60,510500,9.473128
2016-11-01,10.30,10.35,9.95,10.00,538800,9.867842
2016-10-31,10.35,10.50,10.20,10.30,542900,10.163877
2016-10-28,10.35,10.60,10.15,10.25,489900,10.114538
2016-10-27,10.60,10.65,10.20,10.35,489300,10.213216
2016-10-26,10.40,10.70,10.35,10.60,376900,10.459912
2016-10-25,10.80,10.85,10.35,10.45,493700,10.311894
2016-10-24,10.85,11.00,10.80,10.90,362800,10.755947
2016-10-21,10.65,10.95,10.60,10.75,468000,10.60793
2016-10-20,10.55,10.80,10.50,10.75,474000,10.60793
2016-10-19,10.55,10.65,10.45,10.65,546500,10.509251
2016-10-18,10.65,10.65,10.45,10.50,313200,10.361234
2016-10-17,10.55,10.65,10.50,10.55,415800,10.410573
2016-10-14,10.59,10.70,10.51,10.52,437700,10.38097
2016-10-13,10.67,10.67,10.32,10.55,431600,10.410573
2016-10-12,10.56,10.75,10.50,10.67,294000,10.528987
2016-10-11,10.71,10.81,10.50,10.56,531400,10.420441
2016-10-10,10.89,11.05,10.75,10.76,363900,10.617798
2016-10-07,11.02,11.09,10.74,10.84,568700,10.69674
2016-10-06,11.12,11.17,10.92,11.05,479400,10.903965
2016-10-05,10.90,11.17,10.80,11.08,528300,10.933568
2016-10-04,11.10,11.18,10.94,11.04,580900,10.746079
2016-10-03,11.20,11.29,10.99,11.11,673900,10.814215
2016-09-30,11.14,11.31,10.92,11.30,853500,10.999157
2016-09-29,10.80,11.14,10.80,10.99,770600,10.69741
2016-09-28,10.89,11.00,10.65,10.91,816600,10.61954
2016-09-27,10.99,11.09,10.83,10.88,496700,10.590339
2016-09-26,10.87,10.99,10.83,10.96,674000,10.668209
2016-09-23,10.96,11.16,10.95,10.98,595100,10.687676
2016-09-22,10.85,11.03,10.80,11.02,743200,10.726612
2016-09-21,10.82,10.87,10.58,10.79,799400,10.502735
2016-09-20,10.79,10.87,10.65,10.71,625900,10.424865
2016-09-19,10.87,10.91,10.66,10.76,882100,10.473534
2016-09-16,10.90,11.03,10.76,10.81,1515900,10.522203
2016-09-15,10.84,11.03,10.83,10.95,1026500,10.658475
2016-09-14,11.57,11.68,10.66,10.80,2884100,10.512469
2016-09-13,11.74,11.88,11.46,11.57,1023200,11.261969
2016-09-12,11.46,11.95,11.35,11.87,1289200,11.553982
2016-09-09,11.70,11.80,11.41,11.51,1347700,11.203567
2016-09-08,11.68,12.26,11.35,11.85,4186500,11.534515
2016-09-07,12.75,12.76,12.17,12.35,2644900,12.021203
2016-09-06,12.27,12.90,12.01,12.67,3413300,12.332684
2016-09-02,11.49,11.61,11.40,11.53,455100,11.223034
2016-09-01,11.47,11.54,11.23,11.43,759700,11.125697
2016-08-31,11.45,11.54,11.27,11.46,626600,11.154898
2016-08-30,11.43,11.49,11.38,11.44,397600,11.13543
2016-08-29,11.38,11.51,11.35,11.49,301300,11.184099
2016-08-26,11.52,11.60,11.32,11.37,676800,11.067294
2016-08-25,11.40,11.60,11.38,11.53,556000,11.223034
2016-08-24,11.54,11.68,11.36,11.42,651500,11.115963
2016-08-23,11.68,11.76,11.45,11.61,573000,11.300904
2016-08-22,11.22,11.68,11.15,11.61,886600,11.300904
2016-08-19,11.52,11.53,11.19,11.20,864900,10.901819
2016-08-18,12.02,12.27,11.54,11.58,1570000,11.271703
2016-08-17,12.79,12.80,11.58,11.91,2682900,11.592917
2016-08-16,13.45,13.52,13.19,13.38,315000,13.023781
2016-08-15,13.41,13.60,13.40,13.52,520100,13.160054
2016-08-12,13.25,13.43,13.16,13.35,381900,12.99458
2016-08-11,13.02,13.63,12.99,13.23,642400,12.877774
2016-08-10,13.10,13.10,12.82,12.86,532100,12.517625
2016-08-09,13.01,13.11,12.95,13.02,268400,12.673366
2016-08-08,13.14,13.25,12.96,13.05,274400,12.702567
2016-08-05,12.77,13.20,12.76,13.09,384700,12.741502
2016-08-04,12.64,12.75,12.55,12.71,311900,12.371619
2016-08-03,12.60,12.63,12.28,12.62,506000,12.284014
2016-08-02,13.04,13.09,12.62,12.69,669900,12.352151
2016-08-01,13.10,13.16,12.85,12.98,420800,12.63443
2016-07-29,13.00,13.17,12.88,13.08,540000,12.731768
2016-07-28,13.01,13.09,12.86,12.95,405800,12.605229
2016-07-27,13.20,13.31,12.99,13.06,417800,12.712301
2016-07-26,12.95,13.28,12.83,13.11,689500,12.760969
2016-07-25,12.74,13.00,12.60,12.93,716800,12.585762
2016-07-22,12.62,12.81,12.55,12.78,354800,12.439755
2016-07-21,12.74,12.85,12.62,12.64,305100,12.303482
2016-07-20,12.68,12.79,12.57,12.70,398300,12.361885
2016-07-19,12.61,12.85,12.50,12.70,621300,12.361885
2016-07-18,12.44,12.69,12.39,12.62,492700,12.284014
2016-07-15,12.61,12.68,12.38,12.40,557700,12.069871
2016-07-14,12.73,12.94,12.52,12.54,656200,12.206144
2016-07-13,12.87,12.97,12.53,12.67,1263000,12.332684
2016-07-12,12.74,13.00,12.73,12.87,937400,12.527359
2016-07-11,12.60,12.70,12.53,12.67,773400,12.332684
2016-07-08,12.19,12.51,12.19,12.49,924600,12.157475
2016-07-07,12.12,12.30,12.07,12.14,849200,11.816794
2016-07-06,11.68,12.14,11.67,12.13,1426900,11.80706
2016-07-05,11.86,11.94,11.58,11.79,1527000,11.330105
2016-07-01,11.38,11.97,11.38,11.93,1280200,11.464645
2016-06-30,11.10,11.39,11.06,11.35,1236800,10.907269
2016-06-29,10.72,11.20,10.70,11.10,1366000,10.667021
2016-06-28,10.98,11.00,10.46,10.58,2627700,10.167304
2016-06-27,11.22,11.29,10.68,10.78,1535300,10.359502
2016-06-24,10.99,11.85,10.88,11.28,3886800,10.839999
2016-06-23,10.75,11.63,10.74,11.26,2993200,10.820779
2016-06-22,11.24,11.28,10.25,10.44,2053900,10.032765
2016-06-21,11.32,11.38,11.02,11.23,784500,10.791949
2016-06-20,11.36,11.46,11.25,11.32,671000,10.878438
2016-06-17,11.22,11.54,11.13,11.20,1612200,10.763119
2016-06-16,11.31,11.52,10.96,11.18,655000,10.7439
2016-06-15,11.30,11.67,11.28,11.36,962300,10.916878
2016-06-14,11.18,11.33,11.06,11.30,649200,10.859219
2016-06-13,11.37,11.48,11.18,11.23,717900,10.791949
2016-06-10,11.40,11.41,11.16,11.35,615000,10.907269
2016-06-09,11.61,11.76,11.30,11.54,659800,11.089857
2016-06-08,11.78,11.85,11.70,11.75,471500,11.291666
2016-06-07,11.43,11.88,11.43,11.74,833300,11.282055
2016-06-06,11.50,11.57,11.32,11.49,492100,11.041807
2016-06-03,11.82,11.89,11.37,11.50,721600,11.051417
2016-06-02,11.71,11.88,11.59,11.85,822000,11.387765
2016-06-01,11.61,11.81,11.53,11.74,460400,11.282055
