Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,68.790001,68.900002,68.199997,68.50,346600,68.50
2017-03-09,68.309998,68.620003,67.940002,68.620003,497700,68.290004
2017-03-08,68.669998,68.720001,68.239998,68.300003,363600,67.971543
2017-03-07,69.209999,69.25,68.400002,68.629997,543900,68.29995
2017-03-06,69.199997,69.519997,69.059998,69.07,390100,68.737836
2017-03-03,69.900002,69.940002,69.309998,69.629997,522300,69.295141
2017-03-02,70.50,70.50,69.910004,69.949997,482600,69.613602
2017-03-01,69.650002,70.809998,69.650002,70.599998,608200,70.260477
2017-02-28,69.900002,70.099998,69.32,69.330002,678400,68.996588
2017-02-27,70.400002,70.610001,69.550003,69.82,713000,69.48423
2017-02-24,68.970001,70.360001,68.959999,70.360001,552200,70.021634
2017-02-23,68.989998,69.419998,68.68,68.970001,1234000,68.638319
2017-02-22,68.739998,68.959999,68.389999,68.860001,613400,68.528847
2017-02-21,68.68,69.209999,68.489998,69.139999,576900,68.807499
2017-02-17,68.589996,68.68,68.010002,68.580002,487400,68.250195
2017-02-16,68.150002,68.629997,68.059998,68.620003,718800,68.290004
2017-02-15,67.589996,68.300003,67.489998,68.160004,524300,67.832217
2017-02-14,67.849998,67.889999,67.419998,67.559998,422300,67.235096
2017-02-13,67.43,68.089996,67.43,67.879997,473800,67.553557
2017-02-10,67.00,67.470001,66.93,67.32,623600,66.996252
2017-02-09,68.18,68.360001,67.150002,67.18,697900,66.856926
2017-02-08,67.93,68.50,67.510002,68.18,426800,67.852117
2017-02-07,68.00,68.650002,67.980003,68.489998,496500,68.160624
2017-02-06,68.120003,68.419998,67.610001,68.07,487500,67.742646
2017-02-03,68.419998,68.709999,68.120003,68.559998,468300,68.230287
2017-02-02,65.870003,68.07,65.760002,67.980003,1131700,67.653082
2017-02-01,67.00,67.010002,65.519997,65.870003,516600,65.553229
2017-01-31,66.32,66.610001,65.900002,66.529999,337400,66.210051
2017-01-30,67.099998,67.099998,65.82,66.410004,455300,66.090633
2017-01-27,67.459999,67.690002,67.099998,67.239998,260000,66.916635
2017-01-26,67.610001,67.889999,67.339996,67.389999,338500,67.065915
2017-01-25,67.519997,67.629997,67.18,67.580002,436400,67.255004
2017-01-24,66.00,67.169998,65.739998,67.010002,442500,66.687746
