Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,43.290001,43.50,43.18,43.439999,112200,43.439999
2017-03-09,43.259998,43.290001,42.860001,43.07,107100,43.07
2017-03-08,43.66,43.740002,43.389999,43.389999,119600,43.389999
2017-03-07,43.82,43.91,43.720001,43.830002,73300,43.830002
2017-03-06,43.66,43.669998,43.529999,43.650002,77200,43.650002
2017-03-03,43.48,43.68,43.360001,43.66,77000,43.66
2017-03-02,43.57,43.66,43.279999,43.330002,147000,43.330002
2017-03-01,43.700001,44.099998,43.66,44.029999,205100,44.029999
2017-02-28,43.549999,43.610001,43.279999,43.369999,63900,43.369999
2017-02-27,43.650002,43.740002,43.48,43.549999,60700,43.549999
2017-02-24,43.689999,43.810001,43.650002,43.740002,67900,43.740002
2017-02-23,44.130001,44.200001,44.040001,44.110001,44200,44.110001
2017-02-22,43.709999,43.919998,43.689999,43.919998,64100,43.919998
2017-02-21,43.52,43.650002,43.490002,43.610001,80600,43.610001
2017-02-17,43.330002,43.450001,43.279999,43.450001,137300,43.450001
2017-02-16,43.619999,43.639999,43.459999,43.529999,81500,43.529999
2017-02-15,43.349998,43.810001,43.299999,43.810001,125000,43.810001
2017-02-14,43.32,43.450001,43.049999,43.419998,64900,43.419998
2017-02-13,43.119999,43.369999,43.00,43.349998,142500,43.349998
2017-02-10,42.720001,43.09,42.720001,43.029999,122800,43.029999
2017-02-09,42.73,42.84,42.619999,42.799999,132100,42.799999
2017-02-08,42.279999,42.540001,42.279999,42.52,85700,42.52
2017-02-07,42.060001,42.150002,41.950001,42.00,183000,42.00
2017-02-06,42.259998,42.27,42.130001,42.139999,467300,42.139999
2017-02-03,42.169998,42.369999,42.02,42.32,82700,42.32
2017-02-02,41.889999,41.939999,41.810001,41.919998,99700,41.919998
2017-02-01,41.82,41.830002,41.619999,41.759998,228900,41.759998
2017-01-31,41.52,41.689999,41.43,41.610001,131800,41.610001
2017-01-30,41.389999,41.470001,41.25,41.439999,170000,41.439999
2017-01-27,41.52,41.57,41.400002,41.549999,81100,41.549999
2017-01-26,41.669998,41.669998,41.50,41.57,60100,41.57
2017-01-25,41.59,41.77,41.400002,41.77,75200,41.77
2017-01-24,41.470001,41.66,41.400002,41.59,75000,41.59
2017-01-23,40.970001,41.349998,40.950001,41.34,87400,41.34
2017-01-20,40.720001,40.799999,40.509998,40.799999,92200,40.799999
2017-01-19,40.619999,40.619999,40.349998,40.450001,70200,40.450001
2017-01-18,40.860001,41.00,40.610001,40.669998,157700,40.669998
2017-01-17,40.77,40.880001,40.73,40.810001,62100,40.810001
2017-01-13,40.700001,40.810001,40.580002,40.759998,57800,40.759998
2017-01-12,40.650002,40.73,40.580002,40.650002,128700,40.650002
