Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,207.910004,207.910004,207.910004,207.910004,000,207.910004
2017-03-09,206.520004,206.520004,206.520004,206.520004,000,206.520004
2017-03-08,205.119995,205.119995,205.119995,205.119995,000,205.119995
2017-03-07,202.699997,202.699997,202.699997,202.699997,000,202.699997
2017-03-06,206.350006,206.350006,206.350006,206.350006,000,206.350006
2017-03-03,207.990005,207.990005,207.990005,207.990005,000,207.990005
2017-03-02,205.589996,205.589996,205.589996,205.589996,000,205.589996
2017-03-01,206.550003,206.550003,206.550003,206.550003,000,206.550003
2017-02-28,203.130005,203.130005,203.130005,203.130005,000,203.130005
2017-02-27,203.970001,203.970001,203.970001,203.970001,000,203.970001
2017-02-24,196.539993,196.539993,196.539993,196.539993,000,196.539993
2017-02-23,195.869995,195.869995,195.869995,195.869995,000,195.869995
2017-02-22,196.820007,196.820007,196.820007,196.820007,000,196.820007
2017-02-21,199.220001,199.220001,199.220001,199.220001,000,199.220001
2017-02-17,200.369995,200.369995,200.369995,200.369995,000,200.369995
2017-02-16,198.899994,198.899994,198.899994,198.899994,000,198.899994
2017-02-15,200.330002,200.330002,200.330002,200.330002,000,200.330002
2017-02-14,196.759995,196.759995,196.759995,196.759995,000,196.759995
2017-02-13,193.809998,193.809998,193.809998,193.809998,000,193.809998
2017-02-10,192.860001,192.860001,192.860001,192.860001,000,192.860001
2017-02-09,193.110001,193.110001,193.110001,193.110001,000,193.110001
2017-02-08,189.929993,189.929993,189.929993,189.929993,000,189.929993
2017-02-07,188.619995,188.619995,188.619995,188.619995,000,188.619995
2017-02-06,189.520004,189.520004,189.520004,189.520004,000,189.520004
2017-02-03,189.199997,189.199997,189.199997,189.199997,000,189.199997
2017-02-02,186.020004,186.020004,186.020004,186.020004,000,186.020004
2017-02-01,186.440002,186.440002,186.440002,186.440002,000,186.440002
2017-01-31,185.009995,185.009995,185.009995,185.009995,000,185.009995
2017-01-30,179.089996,179.089996,179.089996,179.089996,000,179.089996
2017-01-27,182.419998,182.419998,182.419998,182.419998,000,182.419998
2017-01-26,180.339996,180.339996,180.339996,180.339996,000,180.339996
2017-01-25,181.520004,181.520004,181.520004,181.520004,000,181.520004
2017-01-24,180.190002,180.190002,180.190002,180.190002,000,180.190002
2017-01-23,180.539993,180.539993,180.539993,180.539993,000,180.539993
2017-01-20,182.669998,182.669998,182.669998,182.669998,000,182.669998
2017-01-19,183.75,183.75,183.75,183.75,000,183.75
2017-01-18,185.669998,185.669998,185.669998,185.669998,000,185.669998
2017-01-17,183.429993,183.429993,183.429993,183.429993,000,183.429993
2017-01-13,188.059998,188.059998,188.059998,188.059998,000,188.059998
2017-01-12,186.470001,186.470001,186.470001,186.470001,000,186.470001
2017-01-11,185.080002,185.080002,185.080002,185.080002,000,185.080002
2017-01-10,190.919998,190.919998,190.919998,190.919998,000,190.919998
2017-01-09,190.399994,190.399994,190.399994,190.399994,000,190.399994
2017-01-06,186.270004,186.270004,186.270004,186.270004,000,186.270004
2017-01-05,183.710007,183.710007,183.710007,183.710007,000,183.710007
2017-01-04,182.470001,182.470001,182.470001,182.470001,000,182.470001
2017-01-03,175.919998,175.919998,175.919998,175.919998,000,175.919998
2016-12-30,174.050003,174.050003,174.050003,174.050003,000,174.050003
2016-12-29,175.240005,175.240005,175.240005,175.240005,000,175.240005
2016-12-28,176.369995,176.369995,176.369995,176.369995,000,176.369995
2016-12-27,178.570007,178.570007,178.570007,178.570007,000,178.570007
2016-12-23,180.559998,180.559998,180.559998,180.559998,000,180.559998
2016-12-22,175.169998,175.169998,175.169998,175.169998,000,175.169998
2016-12-21,176.460007,176.460007,176.460007,176.460007,000,176.460007
2016-12-20,179.429993,179.429993,179.429993,179.429993,000,179.429993
2016-12-19,177.699997,177.699997,177.699997,177.699997,000,177.699997
2016-12-16,180.070007,180.070007,180.070007,180.070007,000,180.070007
2016-12-15,179.339996,179.339996,179.339996,179.339996,000,179.339996
2016-12-14,177.309998,177.309998,177.309998,177.309998,000,177.309998
2016-12-13,177.679993,177.679993,177.679993,177.679993,000,177.679993
2016-12-12,178.149994,178.149994,178.149994,178.149994,000,178.149994
2016-12-09,181.559998,181.559998,181.559998,181.559998,000,181.559998
2016-12-08,181.470001,181.470001,181.470001,181.470001,000,181.470001
2016-12-07,181.119995,181.119995,181.119995,181.119995,000,181.119995
2016-12-06,186.979996,186.979996,186.979996,186.979996,000,186.979996
2016-12-05,184.529999,184.529999,184.529999,184.529999,000,184.529999
2016-12-02,182.300003,182.300003,182.300003,182.300003,000,182.300003
2016-12-01,180.699997,180.699997,180.699997,180.699997,000,180.699997
2016-11-30,184.330002,184.330002,184.330002,184.330002,000,184.330002
2016-11-29,189.369995,189.369995,189.369995,189.369995,000,189.369995
2016-11-28,188.910004,188.910004,188.910004,188.910004,000,188.910004
2016-11-25,194.100006,194.100006,194.100006,194.100006,000,194.100006
2016-11-23,192.729996,192.729996,192.729996,192.729996,000,192.729996
2016-11-22,189.740005,189.740005,189.740005,189.740005,000,189.740005
2016-11-21,193.610001,193.610001,193.610001,193.610001,000,193.610001
2016-11-18,192.929993,192.929993,192.929993,192.929993,000,192.929993
2016-11-17,195.289993,195.289993,195.289993,195.289993,000,195.289993
2016-11-16,193.270004,193.270004,193.270004,193.270004,000,193.270004
2016-11-15,197.220001,197.220001,197.220001,197.220001,000,197.220001
2016-11-14,198.279999,198.279999,198.279999,198.279999,000,198.279999
2016-11-11,193.970001,193.970001,193.970001,193.970001,000,193.970001
2016-11-10,192.919998,192.919998,192.919998,192.919998,000,192.919998
2016-11-09,189.130005,189.130005,189.130005,189.130005,000,189.130005
2016-11-08,171.389999,171.389999,171.389999,171.389999,000,171.389999
2016-11-07,170.460007,170.460007,170.460007,170.460007,000,170.460007
2016-11-04,164.460007,164.460007,164.460007,164.460007,000,164.460007
2016-11-03,159.940002,159.940002,159.940002,159.940002,000,159.940002
2016-11-02,165.259995,165.259995,165.259995,165.259995,000,165.259995
2016-11-01,169.429993,169.429993,169.429993,169.429993,000,169.429993
2016-10-31,167.619995,167.619995,167.619995,167.619995,000,167.619995
2016-10-28,169.960007,169.960007,169.960007,169.960007,000,169.960007
2016-10-27,171.759995,171.759995,171.759995,171.759995,000,171.759995
2016-10-26,172.949997,172.949997,172.949997,172.949997,000,172.949997
2016-10-25,174.039993,174.039993,174.039993,174.039993,000,174.039993
2016-10-24,174.960007,174.960007,174.960007,174.960007,000,174.960007
2016-10-21,176.470001,176.470001,176.470001,176.470001,000,176.470001
2016-10-20,177.570007,177.570007,177.570007,177.570007,000,177.570007
2016-10-19,174.860001,174.860001,174.860001,174.860001,000,174.860001
2016-10-18,177.240005,177.240005,177.240005,177.240005,000,177.240005
2016-10-17,174.720001,174.720001,174.720001,174.720001,000,174.720001
2016-10-14,175.360001,175.360001,175.360001,175.360001,000,175.360001
2016-10-13,179.419998,179.419998,179.419998,179.419998,000,179.419998
2016-10-12,179.300003,179.300003,179.300003,179.300003,000,179.300003
2016-10-11,185.190002,185.190002,185.190002,185.190002,000,185.190002
2016-10-10,190.479996,190.479996,190.479996,190.479996,000,190.479996
2016-10-07,186.990005,186.990005,186.990005,186.990005,000,186.990005
2016-10-06,187.199997,187.199997,187.199997,187.199997,000,187.199997
2016-10-05,192.440002,192.440002,192.440002,192.440002,000,192.440002
2016-10-04,190.229996,190.229996,190.229996,190.229996,000,190.229996
2016-10-03,191.320007,191.320007,191.320007,191.320007,000,191.320007
