Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,28.17,28.17,28.17,28.17,000,28.17
2017-03-09,28.200001,28.200001,28.200001,28.200001,000,28.200001
2017-03-08,28.120001,28.120001,28.120001,28.120001,000,28.120001
2017-03-07,29.139999,29.139999,29.139999,29.139999,000,29.139999
2017-03-06,29.41,29.41,29.41,29.41,000,29.41
2017-03-03,29.370001,29.370001,29.370001,29.370001,000,29.370001
2017-03-02,29.360001,29.360001,29.360001,29.360001,000,29.360001
2017-03-01,29.889999,29.889999,29.889999,29.889999,000,29.889999
2017-02-28,29.129999,29.129999,29.129999,29.129999,000,29.129999
2017-02-27,29.309999,29.309999,29.309999,29.309999,000,29.309999
2017-02-24,29.139999,29.139999,29.139999,29.139999,000,29.139999
2017-02-23,29.549999,29.549999,29.549999,29.549999,000,29.549999
2017-02-22,29.57,29.57,29.57,29.57,000,29.57
2017-02-21,30.23,30.23,30.23,30.23,000,30.23
2017-02-17,30.00,30.00,30.00,30.00,000,30.00
2017-02-16,30.209999,30.209999,30.209999,30.209999,000,30.209999
2017-02-15,30.59,30.59,30.59,30.59,000,30.59
2017-02-14,30.690001,30.690001,30.690001,30.690001,000,30.690001
2017-02-13,30.379999,30.379999,30.379999,30.379999,000,30.379999
2017-02-10,30.469999,30.469999,30.469999,30.469999,000,30.469999
2017-02-09,30.18,30.18,30.18,30.18,000,30.18
2017-02-08,29.790001,29.790001,29.790001,29.790001,000,29.790001
2017-02-07,29.719999,29.719999,29.719999,29.719999,000,29.719999
2017-02-06,30.299999,30.299999,30.299999,30.299999,000,30.299999
2017-02-03,30.58,30.58,30.58,30.58,000,30.58
2017-02-02,30.32,30.32,30.32,30.32,000,30.32
2017-02-01,30.26,30.26,30.26,30.26,000,30.26
2017-01-31,30.370001,30.370001,30.370001,30.370001,000,30.370001
2017-01-30,30.299999,30.299999,30.299999,30.299999,000,30.299999
2017-01-27,31.040001,31.040001,31.040001,31.040001,000,31.040001
2017-01-26,31.27,31.27,31.27,31.27,000,31.27
2017-01-25,31.209999,31.209999,31.209999,31.209999,000,31.209999
2017-01-24,31.01,31.01,31.01,31.01,000,31.01
2017-01-23,30.51,30.51,30.51,30.51,000,30.51
2017-01-20,30.780001,30.780001,30.780001,30.780001,000,30.780001
2017-01-19,30.639999,30.639999,30.639999,30.639999,000,30.639999
2017-01-18,30.66,30.66,30.66,30.66,000,30.66
2017-01-17,30.77,30.77,30.77,30.77,000,30.77
2017-01-13,30.57,30.57,30.57,30.57,000,30.57
2017-01-12,30.719999,30.719999,30.719999,30.719999,000,30.719999
2017-01-11,30.870001,30.870001,30.870001,30.870001,000,30.870001
2017-01-10,30.549999,30.549999,30.549999,30.549999,000,30.549999
2017-01-09,30.719999,30.719999,30.719999,30.719999,000,30.719999
2017-01-06,31.299999,31.299999,31.299999,31.299999,000,31.299999
2017-01-05,31.41,31.41,31.41,31.41,000,31.41
2017-01-04,31.290001,31.290001,31.290001,31.290001,000,31.290001
2017-01-03,31.07,31.07,31.07,31.07,000,31.07
2016-12-30,30.58,30.58,30.58,30.58,000,30.58
2016-12-29,30.73,30.73,30.73,30.73,000,30.73
2016-12-28,30.809999,30.809999,30.809999,30.809999,000,30.809999
2016-12-27,31.049999,31.049999,31.049999,31.049999,000,31.049999
2016-12-23,30.92,30.92,30.92,30.92,000,30.92
2016-12-22,30.959999,30.959999,30.959999,30.959999,000,30.959999
2016-12-21,30.82,30.82,30.82,30.82,000,30.82
2016-12-20,30.82,30.82,30.82,30.82,000,30.82
2016-12-19,30.940001,30.940001,30.940001,30.940001,000,30.940001
2016-12-16,30.93,30.93,30.93,30.93,000,30.93
2016-12-15,30.870001,30.870001,30.870001,30.870001,000,30.770001
2016-12-14,30.860001,30.860001,30.860001,30.860001,000,30.760033
2016-12-13,31.75,31.75,31.75,31.75,000,31.647149
2016-12-12,31.40,31.40,31.40,31.40,000,31.298283
2016-12-09,31.469999,31.469999,31.469999,31.469999,000,31.368056
2016-12-08,31.51,31.51,31.51,31.51,000,31.407927
2016-12-07,31.280001,31.280001,31.280001,31.280001,000,31.178672
2016-12-06,31.24,31.24,31.24,31.24,000,31.138801
2016-12-05,31.23,31.23,31.23,31.23,000,31.128833
2016-12-02,31.10,31.10,31.10,31.10,000,30.999255
2016-12-01,30.99,30.99,30.99,30.99,000,30.889611
2016-11-30,30.98,30.98,30.98,30.98,000,30.879643
2016-11-29,28.530001,28.530001,28.530001,28.530001,000,28.437581
2016-11-28,29.00,29.00,29.00,29.00,000,28.906058
2016-11-25,29.66,29.66,29.66,29.66,000,29.563919
2016-11-23,29.950001,29.950001,29.950001,29.950001,000,29.852981
2016-11-22,29.82,29.82,29.82,29.82,000,29.723401
