Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,20.030001,20.030001,20.030001,20.030001,000,20.030001
2017-03-09,19.440001,19.440001,19.440001,19.440001,000,19.440001
2017-03-08,19.68,19.68,19.68,19.68,000,19.68
2017-03-07,19.76,19.76,19.76,19.76,000,19.76
2017-03-06,19.82,19.82,19.82,19.82,000,19.82
2017-03-03,20.49,20.49,20.49,20.49,000,20.49
2017-03-02,20.200001,20.200001,20.200001,20.200001,000,20.200001
2017-03-01,21.24,21.24,21.24,21.24,000,21.24
2017-02-28,21.02,21.02,21.02,21.02,000,21.02
2017-02-27,21.030001,21.030001,21.030001,21.030001,000,21.030001
2017-02-24,22.219999,22.219999,22.219999,22.219999,000,22.219999
2017-02-23,22.60,22.60,22.60,22.60,000,22.60
2017-02-22,22.51,22.51,22.51,22.51,000,22.51
2017-02-21,22.74,22.74,22.74,22.74,000,22.74
2017-02-17,22.90,22.90,22.90,22.90,000,22.90
2017-02-16,23.309999,23.309999,23.309999,23.309999,000,23.309999
2017-02-15,23.02,23.02,23.02,23.02,000,23.02
2017-02-14,23.040001,23.040001,23.040001,23.040001,000,23.040001
2017-02-13,23.10,23.10,23.10,23.10,000,23.10
2017-02-10,23.280001,23.280001,23.280001,23.280001,000,23.280001
2017-02-09,22.950001,22.950001,22.950001,22.950001,000,22.950001
2017-02-08,23.389999,23.389999,23.389999,23.389999,000,23.389999
2017-02-07,23.200001,23.200001,23.200001,23.200001,000,23.200001
2017-02-06,23.17,23.17,23.17,23.17,000,23.17
2017-02-03,22.25,22.25,22.25,22.25,000,22.25
2017-02-02,22.139999,22.139999,22.139999,22.139999,000,22.139999
2017-02-01,21.790001,21.790001,21.790001,21.790001,000,21.790001
2017-01-31,21.709999,21.709999,21.709999,21.709999,000,21.709999
2017-01-30,21.09,21.09,21.09,21.09,000,21.09
2017-01-27,21.18,21.18,21.18,21.18,000,21.18
2017-01-26,21.01,21.01,21.01,21.01,000,21.01
2017-01-25,21.41,21.41,21.41,21.41,000,21.41
2017-01-24,21.719999,21.719999,21.719999,21.719999,000,21.719999
2017-01-23,21.75,21.75,21.75,21.75,000,21.75
2017-01-20,21.190001,21.190001,21.190001,21.190001,000,21.190001
2017-01-19,20.969999,20.969999,20.969999,20.969999,000,20.969999
2017-01-18,21.07,21.07,21.07,21.07,000,21.07
2017-01-17,21.440001,21.440001,21.440001,21.440001,000,21.440001
2017-01-13,20.92,20.92,20.92,20.92,000,20.92
2017-01-12,20.84,20.84,20.84,20.84,000,20.84
2017-01-11,20.799999,20.799999,20.799999,20.799999,000,20.799999
2017-01-10,20.790001,20.790001,20.790001,20.790001,000,20.790001
2017-01-09,20.66,20.66,20.66,20.66,000,20.66
2017-01-06,20.629999,20.629999,20.629999,20.629999,000,20.629999
2017-01-05,21.32,21.32,21.32,21.32,000,21.32
2017-01-04,20.030001,20.030001,20.030001,20.030001,000,20.030001
2017-01-03,19.809999,19.809999,19.809999,19.809999,000,19.809999
2016-12-30,19.16,19.16,19.16,19.16,000,19.16
2016-12-29,19.719999,19.719999,19.719999,19.719999,000,19.719999
2016-12-28,18.459999,18.459999,18.459999,18.459999,000,18.459999
2016-12-27,17.99,17.99,17.99,17.99,000,17.99
2016-12-23,17.610001,17.610001,17.610001,17.610001,000,17.610001
2016-12-22,17.360001,17.360001,17.360001,17.360001,000,17.360001
2016-12-21,17.370001,17.370001,17.370001,17.370001,000,17.370001
2016-12-20,17.379999,17.379999,17.379999,17.379999,000,17.379999
2016-12-19,17.309999,17.309999,17.309999,17.309999,000,17.309999
2016-12-16,17.25,17.25,17.25,17.25,000,17.25
