Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,62.380001,62.380001,62.380001,62.380001,000,62.380001
2017-03-09,61.959999,61.959999,61.959999,61.959999,000,61.959999
2017-03-08,62.41,62.41,62.41,62.41,000,62.41
2017-03-07,62.310001,62.310001,62.310001,62.310001,000,62.310001
2017-03-06,62.509998,62.509998,62.509998,62.509998,000,62.509998
2017-03-03,62.77,62.77,62.77,62.77,000,62.77
2017-03-02,62.779999,62.779999,62.779999,62.779999,000,62.779999
2017-03-01,63.040001,63.040001,63.040001,63.040001,000,63.040001
2017-02-28,61.700001,61.700001,61.700001,61.700001,000,61.700001
2017-02-27,62.110001,62.110001,62.110001,62.110001,000,62.110001
2017-02-24,61.549999,61.549999,61.549999,61.549999,000,61.549999
2017-02-23,61.220001,61.220001,61.220001,61.220001,000,61.220001
2017-02-22,61.52,61.52,61.52,61.52,000,61.52
2017-02-21,61.650002,61.650002,61.650002,61.650002,000,61.650002
2017-02-17,60.889999,60.889999,60.889999,60.889999,000,60.889999
2017-02-16,60.93,60.93,60.93,60.93,000,60.93
2017-02-15,61.060001,61.060001,61.060001,61.060001,000,61.060001
2017-02-14,60.77,60.77,60.77,60.77,000,60.77
2017-02-13,60.619999,60.619999,60.619999,60.619999,000,60.619999
2017-02-10,60.599998,60.599998,60.599998,60.599998,000,60.599998
2017-02-09,59.990002,59.990002,59.990002,59.990002,000,59.990002
2017-02-08,59.610001,59.610001,59.610001,59.610001,000,59.610001
2017-02-07,59.509998,59.509998,59.509998,59.509998,000,59.509998
2017-02-06,59.689999,59.689999,59.689999,59.689999,000,59.689999
2017-02-03,59.959999,59.959999,59.959999,59.959999,000,59.959999
2017-02-02,59.48,59.48,59.48,59.48,000,59.48
2017-02-01,59.419998,59.419998,59.419998,59.419998,000,59.419998
2017-01-31,59.720001,59.720001,59.720001,59.720001,000,59.720001
2017-01-30,60.279999,60.279999,60.279999,60.279999,000,60.279999
2017-01-27,60.580002,60.580002,60.580002,60.580002,000,60.580002
2017-01-26,60.970001,60.970001,60.970001,60.970001,000,60.970001
2017-01-25,60.950001,60.950001,60.950001,60.950001,000,60.950001
2017-01-24,60.599998,60.599998,60.599998,60.599998,000,60.599998
2017-01-23,59.66,59.66,59.66,59.66,000,59.66
2017-01-20,59.25,59.25,59.25,59.25,000,59.25
2017-01-19,58.939999,58.939999,58.939999,58.939999,000,58.939999
2017-01-18,59.200001,59.200001,59.200001,59.200001,000,59.200001
2017-01-17,59.060001,59.060001,59.060001,59.060001,000,59.060001
2017-01-13,59.220001,59.220001,59.220001,59.220001,000,59.220001
2017-01-12,59.009998,59.009998,59.009998,59.009998,000,59.009998
2017-01-11,59.099998,59.099998,59.099998,59.099998,000,59.099998
2017-01-10,59.16,59.16,59.16,59.16,000,59.16
2017-01-09,58.849998,58.849998,58.849998,58.849998,000,58.849998
2017-01-06,59.18,59.18,59.18,59.18,000,59.18
2017-01-05,59.48,59.48,59.48,59.48,000,59.48
2017-01-04,59.779999,59.779999,59.779999,59.779999,000,59.779999
2017-01-03,59.07,59.07,59.07,59.07,000,59.07
2016-12-30,58.860001,58.860001,58.860001,58.860001,000,58.860001
2016-12-29,59.09,59.09,59.09,59.09,000,59.09
2016-12-28,59.029999,59.029999,59.029999,59.029999,000,59.029999
2016-12-27,59.50,59.50,59.50,59.50,000,59.50
2016-12-23,59.240002,59.240002,59.240002,59.240002,000,59.240002
2016-12-22,59.27,59.27,59.27,59.27,000,59.27
2016-12-21,59.66,59.66,59.66,59.66,000,59.66
2016-12-20,59.82,59.82,59.82,59.82,000,59.82
2016-12-19,59.360001,59.360001,59.360001,59.360001,000,59.360001
2016-12-16,59.16,59.16,59.16,59.16,000,59.16
2016-12-15,61.150002,61.150002,61.150002,61.150002,000,59.028003
2016-12-14,61.389999,61.389999,61.389999,61.389999,000,59.259673
2016-12-13,62.009998,62.009998,62.009998,62.009998,000,59.858157
2016-12-12,61.84,61.84,61.84,61.84,000,59.694058
2016-12-09,61.959999,61.959999,61.959999,61.959999,000,59.809893
2016-12-08,61.93,61.93,61.93,61.93,000,59.780935
2016-12-07,61.639999,61.639999,61.639999,61.639999,000,59.500997
2016-12-06,60.310001,60.310001,60.310001,60.310001,000,58.217152
2016-12-05,60.150002,60.150002,60.150002,60.150002,000,58.062705
2016-12-02,59.860001,59.860001,59.860001,59.860001,000,57.782767
2016-12-01,59.650002,59.650002,59.650002,59.650002,000,57.580055
2016-11-30,59.790001,59.790001,59.790001,59.790001,000,57.715197
2016-11-29,60.110001,60.110001,60.110001,60.110001,000,58.024092
2016-11-28,60.029999,60.029999,60.029999,60.029999,000,57.946866
2016-11-25,60.619999,60.619999,60.619999,60.619999,000,58.516392
2016-11-23,60.259998,60.259998,60.259998,60.259998,000,58.168884
2016-11-22,60.00,60.00,60.00,60.00,000,57.917908
2016-11-21,59.220001,59.220001,59.220001,59.220001,000,57.164977
2016-11-18,59.169998,59.169998,59.169998,59.169998,000,57.116709
2016-11-17,59.16,59.16,59.16,59.16,000,57.107058
2016-11-16,58.50,58.50,58.50,58.50,000,56.469961
2016-11-15,58.82,58.82,58.82,58.82,000,56.778856
2016-11-14,59.48,59.48,59.48,59.48,000,57.415953
2016-11-11,59.099998,59.099998,59.099998,59.099998,000,57.049138
2016-11-10,59.07,59.07,59.07,59.07,000,57.020181
2016-11-09,58.200001,58.200001,58.200001,58.200001,000,56.180372
2016-11-08,57.130001,57.130001,57.130001,57.130001,000,55.147503
2016-11-07,56.799999,56.799999,56.799999,56.799999,000,54.828953
2016-11-04,55.98,55.98,55.98,55.98,000,54.037408
2016-11-03,55.759998,55.759998,55.759998,55.759998,000,53.825041
2016-11-02,55.84,55.84,55.84,55.84,000,53.902267
2016-11-01,55.939999,55.939999,55.939999,55.939999,000,53.998795
2016-10-31,56.619999,56.619999,56.619999,56.619999,000,54.655199
2016-10-28,56.34,56.34,56.34,56.34,000,54.384916
2016-10-27,55.700001,55.700001,55.700001,55.700001,000,53.767126
2016-10-26,56.290001,56.290001,56.290001,56.290001,000,54.336652
2016-10-25,56.34,56.34,56.34,56.34,000,54.384916
2016-10-24,57.720001,57.720001,57.720001,57.720001,000,55.717029
2016-10-21,57.349998,57.349998,57.349998,57.349998,000,55.359866
2016-10-20,57.240002,57.240002,57.240002,57.240002,000,55.253686
2016-10-19,57.43,57.43,57.43,57.43,000,55.437092
2016-10-18,57.439999,57.439999,57.439999,57.439999,000,55.446743
2016-10-17,57.349998,57.349998,57.349998,57.349998,000,55.359866
2016-10-14,57.419998,57.419998,57.419998,57.419998,000,55.427437
2016-10-13,57.470001,57.470001,57.470001,57.470001,000,55.475704
2016-10-12,57.619999,57.619999,57.619999,57.619999,000,55.620497
2016-10-11,57.209999,57.209999,57.209999,57.209999,000,55.224725
2016-10-10,57.970001,57.970001,57.970001,57.970001,000,55.958354
2016-10-07,57.869999,57.869999,57.869999,57.869999,000,55.861822
2016-10-06,58.720001,58.720001,58.720001,58.720001,000,56.682328
2016-10-05,58.220001,58.220001,58.220001,58.220001,000,56.199678
2016-10-04,58.509998,58.509998,58.509998,58.509998,000,56.479612
2016-10-03,58.73,58.73,58.73,58.73,000,56.691979
2016-09-30,59.27,59.27,59.27,59.27,000,57.213241
2016-09-29,59.259998,59.259998,59.259998,59.259998,000,57.203586
2016-09-28,59.73,59.73,59.73,59.73,000,57.657277
2016-09-27,59.209999,59.209999,59.209999,59.209999,000,57.155322
2016-09-26,58.990002,58.990002,58.990002,58.990002,000,56.942959
2016-09-23,59.299999,59.299999,59.299999,59.299999,000,57.242199
2016-09-22,59.43,59.43,59.43,59.43,000,57.367689
2016-09-21,58.700001,58.700001,58.700001,58.700001,000,56.663021
2016-09-20,58.029999,58.029999,58.029999,58.029999,000,56.016269
2016-09-19,58.169998,58.169998,58.169998,58.169998,000,56.15141
2016-09-16,57.700001,57.700001,57.700001,57.700001,000,55.697723
2016-09-15,58.220001,58.220001,58.220001,58.220001,000,56.199678
2016-09-14,57.84,57.84,57.84,57.84,000,55.832864
2016-09-13,57.810001,57.810001,57.810001,57.810001,000,55.803906
2016-09-12,59.029999,59.029999,59.029999,59.029999,000,56.981568
2016-09-09,58.34,58.34,58.34,58.34,000,56.315513
2016-09-08,60.50,60.50,60.50,60.50,000,58.400558
2016-09-07,61.18,61.18,61.18,61.18,000,59.056961
2016-09-06,61.200001,61.200001,61.200001,61.200001,000,59.076267
