Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,149.199997,149.199997,149.199997,149.199997,000,149.199997
2017-03-09,148.160004,148.160004,148.160004,148.160004,000,148.160004
2017-03-08,148.149994,148.149994,148.149994,148.149994,000,148.149994
2017-03-07,147.869995,147.869995,147.869995,147.869995,000,147.869995
2017-03-06,147.789993,147.789993,147.789993,147.789993,000,147.789993
2017-03-03,148.089996,148.089996,148.089996,148.089996,000,148.089996
2017-03-02,147.949997,147.949997,147.949997,147.949997,000,147.949997
2017-03-01,149.009995,149.009995,149.009995,149.009995,000,149.009995
2017-02-28,146.960007,146.960007,146.960007,146.960007,000,146.960007
2017-02-27,147.679993,147.679993,147.679993,147.679993,000,147.679993
2017-02-24,147.610001,147.610001,147.610001,147.610001,000,147.610001
2017-02-23,147.75,147.75,147.75,147.75,000,147.75
2017-02-22,148.610001,148.610001,148.610001,148.610001,000,148.610001
2017-02-21,148.330002,148.330002,148.330002,148.330002,000,148.330002
2017-02-17,147.190002,147.190002,147.190002,147.190002,000,147.190002
2017-02-16,146.660004,146.660004,146.660004,146.660004,000,146.660004
2017-02-15,146.360001,146.360001,146.360001,146.360001,000,146.360001
2017-02-14,146.020004,146.020004,146.020004,146.020004,000,146.020004
2017-02-13,145.850006,145.850006,145.850006,145.850006,000,145.850006
2017-02-10,145.100006,145.100006,145.100006,145.100006,000,145.100006
2017-02-09,144.800003,144.800003,144.800003,144.800003,000,144.800003
2017-02-08,143.160004,143.160004,143.160004,143.160004,000,143.160004
2017-02-07,142.539993,142.539993,142.539993,142.539993,000,142.539993
2017-02-06,142.020004,142.020004,142.020004,142.020004,000,142.020004
2017-02-03,141.779999,141.779999,141.779999,141.779999,000,141.779999
2017-02-02,141.119995,141.119995,141.119995,141.119995,000,141.119995
2017-02-01,140.699997,140.699997,140.699997,140.699997,000,140.699997
2017-01-31,139.470001,139.470001,139.470001,139.470001,000,139.470001
2017-01-30,139.509995,139.509995,139.509995,139.509995,000,139.509995
2017-01-27,140.529999,140.529999,140.529999,140.529999,000,140.529999
2017-01-26,140.610001,140.610001,140.610001,140.610001,000,140.610001
2017-01-25,140.919998,140.919998,140.919998,140.919998,000,140.919998
2017-01-24,139.190002,139.190002,139.190002,139.190002,000,139.190002
2017-01-23,137.940002,137.940002,137.940002,137.940002,000,137.940002
2017-01-20,137.070007,137.070007,137.070007,137.070007,000,137.070007
2017-01-19,136.50,136.50,136.50,136.50,000,136.50
2017-01-18,136.610001,136.610001,136.610001,136.610001,000,136.610001
2017-01-17,136.179993,136.179993,136.179993,136.179993,000,136.179993
2017-01-13,136.839996,136.839996,136.839996,136.839996,000,136.839996
2017-01-12,136.270004,136.270004,136.270004,136.270004,000,136.270004
2017-01-11,136.360001,136.360001,136.360001,136.360001,000,136.360001
2017-01-10,135.339996,135.339996,135.339996,135.339996,000,135.339996
2017-01-09,134.929993,134.929993,134.929993,134.929993,000,134.929993
2017-01-06,134.399994,134.399994,134.399994,134.399994,000,134.399994
