Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,33.610001,33.610001,33.610001,33.610001,000,33.610001
2017-03-09,33.700001,33.700001,33.700001,33.700001,000,33.700001
2017-03-08,33.66,33.66,33.66,33.66,000,33.66
2017-03-07,33.759998,33.759998,33.759998,33.759998,000,33.759998
2017-03-06,33.880001,33.880001,33.880001,33.880001,000,33.880001
2017-03-03,34.099998,34.099998,34.099998,34.099998,000,34.099998
2017-03-02,33.91,33.91,33.91,33.91,000,33.91
2017-03-01,34.599998,34.599998,34.599998,34.599998,000,34.599998
2017-02-28,33.630001,33.630001,33.630001,33.630001,000,33.630001
2017-02-27,33.830002,33.830002,33.830002,33.830002,000,33.830002
2017-02-24,33.650002,33.650002,33.650002,33.650002,000,33.650002
2017-02-23,33.889999,33.889999,33.889999,33.889999,000,33.889999
2017-02-22,33.880001,33.880001,33.880001,33.880001,000,33.880001
2017-02-21,33.919998,33.919998,33.919998,33.919998,000,33.919998
2017-02-17,33.759998,33.759998,33.759998,33.759998,000,33.759998
2017-02-16,33.779999,33.779999,33.779999,33.779999,000,33.779999
2017-02-15,33.900002,33.900002,33.900002,33.900002,000,33.900002
2017-02-14,33.66,33.66,33.66,33.66,000,33.66
2017-02-13,33.18,33.18,33.18,33.18,000,33.18
2017-02-10,32.869999,32.869999,32.869999,32.869999,000,32.869999
2017-02-09,32.779999,32.779999,32.779999,32.779999,000,32.779999
2017-02-08,32.27,32.27,32.27,32.27,000,32.27
2017-02-07,32.52,32.52,32.52,32.52,000,32.52
2017-02-06,32.66,32.66,32.66,32.66,000,32.66
2017-02-03,32.880001,32.880001,32.880001,32.880001,000,32.880001
2017-02-02,32.150002,32.150002,32.150002,32.150002,000,32.150002
2017-02-01,32.400002,32.400002,32.400002,32.400002,000,32.400002
2017-01-31,32.419998,32.419998,32.419998,32.419998,000,32.419998
2017-01-30,32.59,32.59,32.59,32.59,000,32.59
2017-01-27,32.950001,32.950001,32.950001,32.950001,000,32.950001
2017-01-26,33.139999,33.139999,33.139999,33.139999,000,33.139999
2017-01-25,33.00,33.00,33.00,33.00,000,33.00
2017-01-24,32.360001,32.360001,32.360001,32.360001,000,32.360001
2017-01-23,31.809999,31.809999,31.809999,31.809999,000,31.809999
2017-01-20,31.959999,31.959999,31.959999,31.959999,000,31.959999
2017-01-19,31.66,31.66,31.66,31.66,000,31.66
2017-01-18,31.83,31.83,31.83,31.83,000,31.83
2017-01-17,31.58,31.58,31.58,31.58,000,31.58
2017-01-13,32.549999,32.549999,32.549999,32.549999,000,32.549999
2017-01-12,32.23,32.23,32.23,32.23,000,32.23
2017-01-11,32.619999,32.619999,32.619999,32.619999,000,32.619999
2017-01-10,32.439999,32.439999,32.439999,32.439999,000,32.439999
2017-01-09,32.220001,32.220001,32.220001,32.220001,000,32.220001
2017-01-06,32.490002,32.490002,32.490002,32.490002,000,32.490002
2017-01-05,32.380001,32.380001,32.380001,32.380001,000,32.380001
2017-01-04,32.849998,32.849998,32.849998,32.849998,000,32.849998
2017-01-03,32.470001,32.470001,32.470001,32.470001,000,32.470001
2016-12-30,32.200001,32.200001,32.200001,32.200001,000,32.200001
2016-12-29,32.110001,32.110001,32.110001,32.110001,000,32.110001
2016-12-28,32.369999,32.369999,32.369999,32.369999,000,32.369999
2016-12-27,32.720001,32.720001,32.720001,32.720001,000,32.720001
2016-12-23,32.610001,32.610001,32.610001,32.610001,000,32.610001
2016-12-22,32.549999,32.549999,32.549999,32.549999,000,32.549999
2016-12-21,32.57,32.57,32.57,32.57,000,32.57
2016-12-20,32.650002,32.650002,32.650002,32.650002,000,32.650002
2016-12-19,32.16,32.16,32.16,32.16,000,32.16
2016-12-16,32.029999,32.029999,32.029999,32.029999,000,32.029999
2016-12-15,32.59,32.59,32.59,32.59,000,32.345
2016-12-14,32.16,32.16,32.16,32.16,000,31.918233
2016-12-13,32.34,32.34,32.34,32.34,000,32.09688
2016-12-12,32.259998,32.259998,32.259998,32.259998,000,32.017479
2016-12-09,32.689999,32.689999,32.689999,32.689999,000,32.444247
2016-12-08,32.630001,32.630001,32.630001,32.630001,000,32.384701
2016-12-07,32.189999,32.189999,32.189999,32.189999,000,31.948006
2016-12-06,31.75,31.75,31.75,31.75,000,31.511315
2016-12-05,31.35,31.35,31.35,31.35,000,31.114322
2016-12-02,30.93,30.93,30.93,30.93,000,30.69748
2016-12-01,31.24,31.24,31.24,31.24,000,31.005149
2016-11-30,30.67,30.67,30.67,30.67,000,30.439434
2016-11-29,30.200001,30.200001,30.200001,30.200001,000,29.972968
2016-11-28,30.129999,30.129999,30.129999,30.129999,000,29.903493
2016-11-25,30.68,30.68,30.68,30.68,000,30.449359
2016-11-23,30.60,30.60,30.60,30.60,000,30.369961
2016-11-22,30.43,30.43,30.43,30.43,000,30.201239
