Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,116.199997,116.199997,116.199997,116.199997,000,116.199997
2017-03-09,115.940002,115.940002,115.940002,115.940002,000,115.940002
2017-03-08,115.870003,115.870003,115.870003,115.870003,000,115.870003
2017-03-07,115.199997,115.199997,115.199997,115.199997,000,115.199997
2017-03-06,115.68,115.68,115.68,115.68,000,115.68
2017-03-03,116.059998,116.059998,116.059998,116.059998,000,116.059998
2017-03-02,116.519997,116.519997,116.519997,116.519997,000,116.519997
2017-03-01,116.379997,116.379997,116.379997,116.379997,000,116.379997
2017-02-28,115.629997,115.629997,115.629997,115.629997,000,115.629997
2017-02-27,116.129997,116.129997,116.129997,116.129997,000,116.129997
2017-02-24,115.989998,115.989998,115.989998,115.989998,000,115.989998
2017-02-23,115.470001,115.470001,115.470001,115.470001,000,115.470001
2017-02-22,116.489998,116.489998,116.489998,116.489998,000,116.489998
2017-02-21,116.449997,116.449997,116.449997,116.449997,000,116.449997
2017-02-17,115.540001,115.540001,115.540001,115.540001,000,115.540001
2017-02-16,114.93,114.93,114.93,114.93,000,114.93
2017-02-15,115.589996,115.589996,115.589996,115.589996,000,115.589996
2017-02-14,114.919998,114.919998,114.919998,114.919998,000,114.919998
2017-02-13,114.370003,114.370003,114.370003,114.370003,000,114.370003
2017-02-10,114.419998,114.419998,114.419998,114.419998,000,114.419998
2017-02-09,113.879997,113.879997,113.879997,113.879997,000,113.879997
2017-02-08,113.129997,113.129997,113.129997,113.129997,000,113.129997
2017-02-07,111.900002,111.900002,111.900002,111.900002,000,111.900002
2017-02-06,111.519997,111.519997,111.519997,111.519997,000,111.519997
2017-02-03,112.029999,112.029999,112.029999,112.029999,000,112.029999
2017-02-02,112.510002,112.510002,112.510002,112.510002,000,112.510002
2017-02-01,112.269997,112.269997,112.269997,112.269997,000,112.269997
2017-01-31,112.470001,112.470001,112.470001,112.470001,000,112.470001
2017-01-30,112.720001,112.720001,112.720001,112.720001,000,112.720001
2017-01-27,112.980003,112.980003,112.980003,112.980003,000,112.980003
2017-01-26,113.309998,113.309998,113.309998,113.309998,000,113.309998
2017-01-25,113.400002,113.400002,113.400002,113.400002,000,113.400002
2017-01-24,112.800003,112.800003,112.800003,112.800003,000,112.800003
2017-01-23,112.139999,112.139999,112.139999,112.139999,000,112.139999
2017-01-20,112.00,112.00,112.00,112.00,000,112.00
2017-01-19,111.910004,111.910004,111.910004,111.910004,000,111.910004
2017-01-18,112.370003,112.370003,112.370003,112.370003,000,112.370003
2017-01-17,112.529999,112.529999,112.529999,112.529999,000,112.529999
2017-01-13,112.410004,112.410004,112.410004,112.410004,000,112.410004
2017-01-12,112.199997,112.199997,112.199997,112.199997,000,112.199997
2017-01-11,111.900002,111.900002,111.900002,111.900002,000,111.900002
2017-01-10,112.080002,112.080002,112.080002,112.080002,000,112.080002
