Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,13.88,13.88,13.88,13.88,000,13.88
2017-03-09,13.82,13.82,13.82,13.82,000,13.82
2017-03-08,13.81,13.81,13.81,13.81,000,13.81
2017-03-07,13.89,13.89,13.89,13.89,000,13.89
2017-03-06,13.91,13.91,13.91,13.91,000,13.91
2017-03-03,14.03,14.03,14.03,14.03,000,14.03
2017-03-02,13.99,13.99,13.99,13.99,000,13.99
2017-03-01,14.20,14.20,14.20,14.20,000,14.20
2017-02-28,14.02,14.02,14.02,14.02,000,14.02
2017-02-27,14.13,14.13,14.13,14.13,000,14.13
2017-02-24,14.04,14.04,14.04,14.04,000,14.04
2017-02-23,14.06,14.06,14.06,14.06,000,14.06
2017-02-22,14.04,14.04,14.04,14.04,000,14.04
2017-02-21,14.02,14.02,14.02,14.02,000,14.02
2017-02-17,13.98,13.98,13.98,13.98,000,13.98
2017-02-16,14.00,14.00,14.00,14.00,000,14.00
2017-02-15,14.06,14.06,14.06,14.06,000,14.06
2017-02-14,14.01,14.01,14.01,14.01,000,14.01
2017-02-13,13.88,13.88,13.88,13.88,000,13.88
2017-02-10,13.78,13.78,13.78,13.78,000,13.78
2017-02-09,13.75,13.75,13.75,13.75,000,13.75
2017-02-08,13.58,13.58,13.58,13.58,000,13.58
2017-02-07,13.62,13.62,13.62,13.62,000,13.62
2017-02-06,13.65,13.65,13.65,13.65,000,13.65
2017-02-03,13.68,13.68,13.68,13.68,000,13.68
2017-02-02,13.41,13.41,13.41,13.41,000,13.41
2017-02-01,13.42,13.42,13.42,13.42,000,13.42
2017-01-31,13.43,13.43,13.43,13.43,000,13.43
2017-01-30,13.46,13.46,13.46,13.46,000,13.46
2017-01-27,13.50,13.50,13.50,13.50,000,13.50
2017-01-26,13.55,13.55,13.55,13.55,000,13.55
2017-01-25,13.54,13.54,13.54,13.54,000,13.54
2017-01-24,13.60,13.60,13.60,13.60,000,13.60
2017-01-23,13.44,13.44,13.44,13.44,000,13.44
2017-01-20,13.48,13.48,13.48,13.48,000,13.48
2017-01-19,13.40,13.40,13.40,13.40,000,13.40
2017-01-18,13.45,13.45,13.45,13.45,000,13.45
2017-01-17,13.36,13.36,13.36,13.36,000,13.36
2017-01-13,13.58,13.58,13.58,13.58,000,13.58
2017-01-12,13.56,13.56,13.56,13.56,000,13.56
2017-01-11,13.67,13.67,13.67,13.67,000,13.67
2017-01-10,13.64,13.64,13.64,13.64,000,13.64
2017-01-09,13.57,13.57,13.57,13.57,000,13.57
2017-01-06,13.66,13.66,13.66,13.66,000,13.66
2017-01-05,13.65,13.65,13.65,13.65,000,13.65
2017-01-04,13.80,13.80,13.80,13.80,000,13.80
2017-01-03,13.57,13.57,13.57,13.57,000,13.57
2016-12-30,13.38,13.38,13.38,13.38,000,13.38
2016-12-29,13.39,13.39,13.39,13.39,000,13.39
2016-12-28,13.41,13.41,13.41,13.41,000,13.41
2016-12-27,13.55,13.55,13.55,13.55,000,13.55
2016-12-23,13.51,13.51,13.51,13.51,000,13.51
2016-12-22,13.47,13.47,13.47,13.47,000,13.47
2016-12-21,13.54,13.54,13.54,13.54,000,13.54
2016-12-20,13.61,13.61,13.61,13.61,000,13.61
2016-12-19,13.52,13.52,13.52,13.52,000,13.52
2016-12-16,13.46,13.46,13.46,13.46,000,13.46
2016-12-15,13.71,13.71,13.71,13.71,000,13.503
2016-12-14,13.58,13.58,13.58,13.58,000,13.374963
2016-12-13,13.67,13.67,13.67,13.67,000,13.463604
2016-12-12,13.70,13.70,13.70,13.70,000,13.493151
2016-12-09,13.92,13.92,13.92,13.92,000,13.70983
2016-12-08,13.89,13.89,13.89,13.89,000,13.680283
2016-12-07,13.72,13.72,13.72,13.72,000,13.512849
2016-12-06,13.43,13.43,13.43,13.43,000,13.227228
2016-12-05,13.29,13.29,13.29,13.29,000,13.089342
2016-12-02,13.08,13.08,13.08,13.08,000,12.882512
2016-12-01,13.15,13.15,13.15,13.15,000,12.951455
2016-11-30,13.13,13.13,13.13,13.13,000,12.931757
2016-11-29,13.12,13.12,13.12,13.12,000,12.921908
2016-11-28,13.12,13.12,13.12,13.12,000,12.921908
2016-11-25,13.26,13.26,13.26,13.26,000,13.059795
2016-11-23,13.25,13.25,13.25,13.25,000,13.049946
2016-11-22,13.16,13.16,13.16,13.16,000,12.961304
2016-11-21,13.13,13.13,13.13,13.13,000,12.931757
2016-11-18,13.05,13.05,13.05,13.05,000,12.852965
2016-11-17,13.02,13.02,13.02,13.02,000,12.823419
2016-11-16,12.92,12.92,12.92,12.92,000,12.724928
2016-11-15,12.97,12.97,12.97,12.97,000,12.774173
2016-11-14,12.94,12.94,12.94,12.94,000,12.744626
2016-11-11,12.79,12.79,12.79,12.79,000,12.596891
2016-11-10,12.64,12.64,12.64,12.64,000,12.449156
