Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,9.26,9.26,9.26,9.26,000,9.26
2017-03-09,9.17,9.17,9.17,9.17,000,9.17
2017-03-08,9.14,9.14,9.14,9.14,000,9.14
2017-03-07,9.16,9.16,9.16,9.16,000,9.16
2017-03-06,9.18,9.18,9.18,9.18,000,9.18
2017-03-03,9.21,9.21,9.21,9.21,000,9.21
2017-03-02,9.16,9.16,9.16,9.16,000,9.16
2017-03-01,9.19,9.19,9.19,9.19,000,9.19
2017-02-28,9.11,9.11,9.11,9.11,000,9.11
2017-02-27,9.13,9.13,9.13,9.13,000,9.13
2017-02-24,9.13,9.13,9.13,9.13,000,9.13
2017-02-23,9.15,9.15,9.15,9.15,000,9.15
2017-02-22,9.14,9.14,9.14,9.14,000,9.14
2017-02-21,9.12,9.12,9.12,9.12,000,9.12
2017-02-17,9.05,9.05,9.05,9.05,000,9.05
2017-02-16,9.02,9.02,9.02,9.02,000,9.02
2017-02-15,9.00,9.00,9.00,9.00,000,9.00
2017-02-14,8.95,8.95,8.95,8.95,000,8.95
2017-02-13,8.92,8.92,8.92,8.92,000,8.92
2017-02-10,8.89,8.89,8.89,8.89,000,8.89
2017-02-09,8.91,8.91,8.91,8.91,000,8.91
2017-02-08,8.85,8.85,8.85,8.85,000,8.85
2017-02-07,8.82,8.82,8.82,8.82,000,8.82
2017-02-06,8.81,8.81,8.81,8.81,000,8.81
2017-02-03,8.82,8.82,8.82,8.82,000,8.82
2017-02-02,8.79,8.79,8.79,8.79,000,8.79
2017-02-01,8.82,8.82,8.82,8.82,000,8.82
2017-01-31,8.68,8.68,8.68,8.68,000,8.68
2017-01-30,8.66,8.66,8.66,8.66,000,8.66
2017-01-27,8.70,8.70,8.70,8.70,000,8.70
2017-01-26,8.70,8.70,8.70,8.70,000,8.70
2017-01-25,8.69,8.69,8.69,8.69,000,8.69
2017-01-24,8.63,8.63,8.63,8.63,000,8.63
2017-01-23,8.69,8.69,8.69,8.69,000,8.69
2017-01-20,8.69,8.69,8.69,8.69,000,8.69
2017-01-19,8.63,8.63,8.63,8.63,000,8.63
2017-01-18,8.61,8.61,8.61,8.61,000,8.61
2017-01-17,8.62,8.62,8.62,8.62,000,8.62
2017-01-13,8.62,8.62,8.62,8.62,000,8.62
2017-01-12,8.60,8.60,8.60,8.60,000,8.60
2017-01-11,8.62,8.62,8.62,8.62,000,8.62
2017-01-10,8.59,8.59,8.59,8.59,000,8.59
2017-01-09,8.54,8.54,8.54,8.54,000,8.54
2017-01-06,8.54,8.54,8.54,8.54,000,8.54
2017-01-05,8.54,8.54,8.54,8.54,000,8.54
2017-01-04,8.50,8.50,8.50,8.50,000,8.50
2017-01-03,8.45,8.45,8.45,8.45,000,8.45
2016-12-30,8.40,8.40,8.40,8.40,000,8.40
2016-12-29,8.42,8.42,8.42,8.42,000,8.42
2016-12-28,8.39,8.39,8.39,8.39,000,8.39
2016-12-27,8.44,8.44,8.44,8.44,000,8.44
2016-12-23,8.41,8.41,8.41,8.41,000,8.41
2016-12-22,8.39,8.39,8.39,8.39,000,8.39
2016-12-21,8.42,8.42,8.42,8.42,000,8.42
2016-12-20,8.41,8.41,8.41,8.41,000,8.41
2016-12-19,8.39,8.39,8.39,8.39,000,8.39
2016-12-16,8.36,8.36,8.36,8.36,000,8.36
2016-12-15,8.34,8.34,8.34,8.34,000,8.34
2016-12-14,8.33,8.33,8.33,8.33,000,8.33
2016-12-13,8.40,8.40,8.40,8.40,000,8.40
2016-12-12,8.29,8.29,8.29,8.29,000,8.29
2016-12-09,8.29,8.29,8.29,8.29,000,8.29
2016-12-08,8.25,8.25,8.25,8.25,000,8.25
2016-12-07,8.21,8.21,8.21,8.21,000,8.21
2016-12-06,8.07,8.07,8.07,8.07,000,8.07
2016-12-05,8.00,8.00,8.00,8.00,000,8.00
2016-12-02,7.97,7.97,7.97,7.97,000,7.97
2016-12-01,8.52,8.52,8.52,8.52,000,7.968001
2016-11-30,8.62,8.62,8.62,8.62,000,8.061521
2016-11-29,8.66,8.66,8.66,8.66,000,8.09893
2016-11-28,8.64,8.64,8.64,8.64,000,8.080226
2016-11-25,8.69,8.69,8.69,8.69,000,8.126986
2016-11-23,8.65,8.65,8.65,8.65,000,8.089577
2016-11-22,8.68,8.68,8.68,8.68,000,8.117634
2016-11-21,8.62,8.62,8.62,8.62,000,8.061521
2016-11-18,8.56,8.56,8.56,8.56,000,8.005409
2016-11-17,8.56,8.56,8.56,8.56,000,8.005409
2016-11-16,8.55,8.55,8.55,8.55,000,7.996057
2016-11-15,8.49,8.49,8.49,8.49,000,7.939944
2016-11-14,8.43,8.43,8.43,8.43,000,7.883832
2016-11-11,8.54,8.54,8.54,8.54,000,7.986704
2016-11-10,8.55,8.55,8.55,8.55,000,7.996057
2016-11-09,8.73,8.73,8.73,8.73,000,8.164394
2016-11-08,8.78,8.78,8.78,8.78,000,8.211155
2016-11-07,8.73,8.73,8.73,8.73,000,8.164394
2016-11-04,8.61,8.61,8.61,8.61,000,8.052169
2016-11-03,8.69,8.69,8.69,8.69,000,8.126986
2016-11-02,8.72,8.72,8.72,8.72,000,8.155043
2016-11-01,8.80,8.80,8.80,8.80,000,8.22986
2016-10-31,8.89,8.89,8.89,8.89,000,8.314029
2016-10-28,8.88,8.88,8.88,8.88,000,8.304676
2016-10-27,8.88,8.88,8.88,8.88,000,8.304676
2016-10-26,8.93,8.93,8.93,8.93,000,8.351437
2016-10-25,9.01,9.01,9.01,9.01,000,8.426254
2016-10-24,9.02,9.02,9.02,9.02,000,8.435606
2016-10-21,8.92,8.92,8.92,8.92,000,8.342085
2016-10-20,8.92,8.92,8.92,8.92,000,8.342085
2016-10-19,8.93,8.93,8.93,8.93,000,8.351437
2016-10-18,8.94,8.94,8.94,8.94,000,8.360789
2016-10-17,8.87,8.87,8.87,8.87,000,8.295324
2016-10-14,8.89,8.89,8.89,8.89,000,8.314029
2016-10-13,8.80,8.80,8.80,8.80,000,8.22986
2016-10-12,8.84,8.84,8.84,8.84,000,8.267268
2016-10-11,8.84,8.84,8.84,8.84,000,8.267268
2016-10-10,8.92,8.92,8.92,8.92,000,8.342085
2016-10-07,8.85,8.85,8.85,8.85,000,8.27662
2016-10-06,8.87,8.87,8.87,8.87,000,8.295324
2016-10-05,8.89,8.89,8.89,8.89,000,8.314029
2016-10-04,8.92,8.92,8.92,8.92,000,8.342085
2016-10-03,8.92,8.92,8.92,8.92,000,8.342085
2016-09-30,8.96,8.96,8.96,8.96,000,8.379493
2016-09-29,8.92,8.92,8.92,8.92,000,8.342085
2016-09-28,8.96,8.96,8.96,8.96,000,8.379493
2016-09-27,8.89,8.89,8.89,8.89,000,8.314029
2016-09-26,8.88,8.88,8.88,8.88,000,8.304676
2016-09-23,8.92,8.92,8.92,8.92,000,8.342085
2016-09-22,9.00,9.00,9.00,9.00,000,8.416902
2016-09-21,8.91,8.91,8.91,8.91,000,8.332733
2016-09-20,8.79,8.79,8.79,8.79,000,8.220507
2016-09-19,8.77,8.77,8.77,8.77,000,8.201804
2016-09-16,8.79,8.79,8.79,8.79,000,8.220507
2016-09-15,8.85,8.85,8.85,8.85,000,8.27662
2016-09-14,8.70,8.70,8.70,8.70,000,8.136338
2016-09-13,8.62,8.62,8.62,8.62,000,8.061521
2016-09-12,8.69,8.69,8.69,8.69,000,8.126986
2016-09-09,8.57,8.57,8.57,8.57,000,8.014761
2016-09-08,8.80,8.80,8.80,8.80,000,8.22986
2016-09-07,8.86,8.86,8.86,8.86,000,8.285972
2016-09-06,8.87,8.87,8.87,8.87,000,8.295324
2016-09-02,8.85,8.85,8.85,8.85,000,8.27662
2016-09-01,8.76,8.76,8.76,8.76,000,8.192451
2016-08-31,8.73,8.73,8.73,8.73,000,8.164394
2016-08-30,8.71,8.71,8.71,8.71,000,8.14569
2016-08-29,8.75,8.75,8.75,8.75,000,8.183099
2016-08-26,8.73,8.73,8.73,8.73,000,8.164394
2016-08-25,8.76,8.76,8.76,8.76,000,8.192451
2016-08-24,8.78,8.78,8.78,8.78,000,8.211155
2016-08-23,8.82,8.82,8.82,8.82,000,8.248563
2016-08-22,8.79,8.79,8.79,8.79,000,8.220507
2016-08-19,8.79,8.79,8.79,8.79,000,8.220507
2016-08-18,8.83,8.83,8.83,8.83,000,8.257916
2016-08-17,8.81,8.81,8.81,8.81,000,8.239212
2016-08-16,8.81,8.81,8.81,8.81,000,8.239212
2016-08-15,8.87,8.87,8.87,8.87,000,8.295324
2016-08-12,8.84,8.84,8.84,8.84,000,8.267268
2016-08-11,8.84,8.84,8.84,8.84,000,8.267268
2016-08-10,8.82,8.82,8.82,8.82,000,8.248563
2016-08-09,8.83,8.83,8.83,8.83,000,8.257916
2016-08-08,8.74,8.74,8.74,8.74,000,8.173747
2016-08-05,8.76,8.76,8.76,8.76,000,8.192451
2016-08-04,8.69,8.69,8.69,8.69,000,8.126986
2016-08-03,8.68,8.68,8.68,8.68,000,8.117634
2016-08-02,8.67,8.67,8.67,8.67,000,8.108282
2016-08-01,8.80,8.80,8.80,8.80,000,8.22986
2016-07-29,8.76,8.76,8.76,8.76,000,8.192451
2016-07-28,8.73,8.73,8.73,8.73,000,8.164394
2016-07-27,8.73,8.73,8.73,8.73,000,8.164394
2016-07-26,8.58,8.58,8.58,8.58,000,8.024113
2016-07-25,8.59,8.59,8.59,8.59,000,8.033465
2016-07-22,8.62,8.62,8.62,8.62,000,8.061521
2016-07-21,8.56,8.56,8.56,8.56,000,8.005409
2016-07-20,8.55,8.55,8.55,8.55,000,7.996057
2016-07-19,8.50,8.50,8.50,8.50,000,7.949296
