Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,21.43,21.65,21.360001,21.52,1628600,21.52
2017-03-09,21.42,21.450001,21.200001,21.290001,1243900,21.290001
2017-03-08,21.25,21.469999,21.120001,21.370001,1513800,21.370001
2017-03-07,21.10,21.24,21.01,21.190001,1706200,21.190001
2017-03-06,21.459999,21.459999,21.040001,21.129999,1305200,21.129999
2017-03-03,21.389999,21.58,21.16,21.58,2138000,21.58
2017-03-02,21.51,21.60,21.280001,21.41,2192200,21.41
2017-03-01,21.25,21.75,21.16,21.50,2457600,21.50
2017-02-28,21.16,21.209999,20.969999,21.030001,2891200,21.030001
2017-02-27,20.83,21.23,20.74,21.219999,2196500,21.219999
2017-02-24,20.74,20.889999,20.469999,20.879999,1387900,20.879999
2017-02-23,21.00,21.110001,20.82,20.91,1676800,20.91
2017-02-22,20.940001,20.950001,20.77,20.950001,1525400,20.950001
2017-02-21,20.620001,20.98,20.51,20.969999,1947800,20.969999
2017-02-17,20.43,20.629999,20.309999,20.620001,919500,20.620001
2017-02-16,20.52,20.709999,20.42,20.52,1656500,20.52
2017-02-15,20.57,20.610001,20.41,20.51,1319300,20.51
2017-02-14,20.57,20.620001,20.459999,20.60,1193500,20.60
2017-02-13,20.530001,20.690001,20.48,20.57,1033100,20.57
2017-02-10,20.459999,20.530001,20.389999,20.49,1506800,20.49
2017-02-09,20.24,20.48,20.129999,20.40,1695800,20.40
2017-02-08,20.09,20.18,19.93,20.139999,1587800,20.139999
2017-02-07,20.450001,20.48,20.120001,20.16,2162600,20.16
2017-02-06,20.26,20.43,20.200001,20.360001,1016100,20.360001
2017-02-03,20.34,20.50,20.25,20.43,2058600,20.43
2017-02-02,20.690001,20.83,20.25,20.290001,2905600,20.290001
2017-02-01,20.91,21.00,20.530001,20.65,3530600,20.65
2017-01-31,20.83,21.00,20.67,20.889999,2413800,20.889999
2017-01-30,20.98,21.08,20.709999,20.92,2427300,20.92
2017-01-27,19.959999,21.540001,19.950001,21.23,5772600,21.23
