Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,6.35,6.39,6.21,6.36,14630700,6.36
2017-03-09,6.26,6.37,6.13,6.30,17109700,6.30
2017-03-08,5.98,6.34,5.98,6.24,18157600,6.24
2017-03-07,5.94,6.12,5.94,6.02,17354800,6.02
2017-03-06,6.24,6.25,5.87,5.96,25572900,5.96
2017-03-03,6.37,6.40,6.20,6.26,14429000,6.26
2017-03-02,6.30,6.48,6.27,6.36,15595300,6.36
2017-03-01,6.42,6.43,6.10,6.24,25329200,6.24
2017-02-28,6.53,6.53,6.27,6.34,23442100,6.34
2017-02-27,6.41,6.87,6.39,6.64,34230700,6.64
2017-02-24,6.62,6.72,6.18,6.46,69595100,6.46
2017-02-23,7.11,7.11,6.81,6.86,26043700,6.86
2017-02-22,7.10,7.13,6.95,7.05,11350100,7.05
2017-02-21,7.11,7.18,7.03,7.06,12628100,7.06
2017-02-17,7.00,7.06,6.90,7.03,13870200,7.03
2017-02-16,7.34,7.35,7.00,7.03,19124400,7.03
2017-02-15,7.25,7.42,7.25,7.31,14828500,7.31
2017-02-14,7.05,7.29,7.01,7.27,16750800,7.27
2017-02-13,7.25,7.38,7.00,7.02,18505000,7.02
2017-02-10,7.23,7.40,7.00,7.14,20302800,7.14
2017-02-09,6.96,7.14,6.88,7.07,17355600,7.07
2017-02-08,6.65,7.00,6.61,6.98,18825600,6.98
2017-02-07,6.64,6.74,6.59,6.64,15120400,6.64
2017-02-06,6.69,6.78,6.60,6.63,8982600,6.63
2017-02-03,6.72,6.88,6.60,6.69,18546500,6.69
2017-02-02,6.57,6.77,6.51,6.72,14887400,6.72
2017-02-01,6.66,6.70,6.53,6.53,11676600,6.53
2017-01-31,6.47,6.66,6.39,6.65,13249300,6.65
2017-01-30,6.40,6.59,6.35,6.55,19170000,6.55
2017-01-27,6.78,6.84,6.38,6.45,25404700,6.45
2017-01-26,6.96,7.01,6.76,6.77,13342400,6.77
2017-01-25,7.02,7.09,6.91,6.94,15455100,6.94
2017-01-24,6.82,7.00,6.80,6.95,15323600,6.95
2017-01-23,6.82,7.01,6.76,6.85,18824500,6.85
2017-01-20,6.73,6.94,6.68,6.85,24259500,6.85
2017-01-19,6.85,6.91,6.66,6.69,22234900,6.69
2017-01-18,6.81,6.88,6.64,6.81,24864400,6.81
2017-01-17,6.84,7.15,6.84,6.94,28858300,6.94
2017-01-13,6.97,7.02,6.73,6.76,26529900,6.76
2017-01-12,7.03,7.08,6.93,6.94,17292900,6.94
2017-01-11,7.04,7.10,6.85,7.05,29211700,7.05
2017-01-10,7.22,7.24,6.95,7.00,37512100,7.00
2017-01-09,7.54,7.57,7.19,7.19,27584500,7.19
2017-01-06,7.50,8.00,7.40,7.57,58240900,7.57
2017-01-05,8.01,8.15,7.78,7.86,43367000,7.86
2017-01-04,8.38,8.80,8.38,8.47,24154000,8.47
2017-01-03,8.35,8.39,7.97,8.33,30736200,8.33
2016-12-30,8.45,8.51,8.21,8.31,18190900,8.31
2016-12-29,8.45,8.58,8.30,8.42,11852000,8.42
2016-12-28,8.57,8.62,8.38,8.47,12053100,8.47
2016-12-27,8.50,8.69,8.36,8.53,14043400,8.53
2016-12-23,8.58,8.72,8.40,8.46,11702300,8.46
2016-12-22,9.02,9.02,8.50,8.56,25917300,8.56
2016-12-21,9.09,9.20,9.04,9.05,12930900,9.05
2016-12-20,8.75,9.12,8.75,9.03,20264900,9.03
2016-12-19,8.65,8.98,8.63,8.69,17675600,8.69
2016-12-16,9.22,9.22,8.59,8.62,26346500,8.62
2016-12-15,9.58,9.65,9.26,9.27,11867700,9.27
2016-12-14,9.86,9.89,9.55,9.55,9942500,9.55
2016-12-13,9.82,10.00,9.61,9.87,13083400,9.87
2016-12-12,10.14,10.20,9.79,9.80,15106400,9.80
2016-12-09,10.53,10.56,10.11,10.21,15409300,10.21
2016-12-08,10.37,10.74,10.37,10.56,15243600,10.56
2016-12-07,10.04,10.46,10.01,10.44,19510400,10.44
2016-12-06,9.81,10.15,9.80,10.02,18698300,10.02
2016-12-05,9.84,10.05,9.79,9.86,18988400,9.86
2016-12-02,9.93,10.09,9.75,9.81,20242000,9.81
2016-12-01,9.47,9.84,9.42,9.53,14904100,9.53
2016-11-30,9.48,9.69,9.30,9.47,16110100,9.47
2016-11-29,9.25,9.69,9.15,9.54,25041300,9.54
2016-11-28,9.69,9.70,9.15,9.20,17891800,9.20
2016-11-25,9.97,9.98,9.63,9.68,8384300,9.68
2016-11-23,9.70,9.90,9.58,9.82,10468700,9.82
2016-11-22,9.42,9.80,9.42,9.72,14277500,9.72
2016-11-21,9.52,9.55,9.23,9.36,11230400,9.36
2016-11-18,9.39,9.50,9.16,9.47,13333000,9.47
2016-11-17,9.20,9.45,9.09,9.43,12664000,9.43
2016-11-16,9.12,9.34,9.07,9.18,12801700,9.18
