Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,5.33,5.38,5.32,5.37,9748800,5.37
2017-03-09,5.26,5.29,5.25,5.28,6802700,5.28
2017-03-08,5.19,5.22,5.16,5.18,8230800,5.18
2017-03-07,5.23,5.25,5.21,5.23,8356400,5.23
2017-03-06,5.29,5.30,5.26,5.28,7381800,5.28
2017-03-03,5.26,5.29,5.23,5.28,11993000,5.28
2017-03-02,5.21,5.25,5.20,5.22,19055200,5.22
2017-03-01,5.17,5.29,5.17,5.26,20311700,5.26
2017-02-28,5.13,5.18,5.12,5.14,9253700,5.14
2017-02-27,5.16,5.21,5.14,5.18,11380600,5.18
2017-02-24,5.10,5.18,5.09,5.14,11570100,5.14
2017-02-23,5.15,5.21,5.11,5.15,21574900,5.15
2017-02-22,5.03,5.11,5.01,5.10,16650600,5.10
2017-02-21,5.03,5.09,5.03,5.09,14955500,5.09
2017-02-17,5.01,5.05,4.99,5.05,7207400,5.05
2017-02-16,5.05,5.09,5.04,5.07,14642700,5.07
2017-02-15,4.96,5.01,4.95,5.00,12325200,5.00
2017-02-14,4.97,4.99,4.95,4.97,7868500,4.97
2017-02-13,4.94,5.00,4.93,4.96,14800900,4.96
2017-02-10,4.89,4.91,4.86,4.88,6966700,4.88
2017-02-09,4.88,4.94,4.88,4.89,12747700,4.89
2017-02-08,4.89,4.92,4.86,4.88,8519400,4.88
2017-02-07,4.88,4.89,4.84,4.86,11121600,4.86
2017-02-06,4.76,4.78,4.73,4.75,13359700,4.75
2017-02-03,4.83,4.85,4.79,4.83,11861200,4.83
2017-02-02,4.82,4.89,4.77,4.82,44543200,4.82
2017-02-01,4.54,4.59,4.52,4.57,10432600,4.57
2017-01-31,4.55,4.56,4.50,4.52,9381600,4.52
2017-01-30,4.64,4.64,4.51,4.54,17064300,4.54
2017-01-27,4.63,4.67,4.61,4.64,11950300,4.64
2017-01-26,4.75,4.77,4.68,4.72,14512100,4.72
2017-01-25,4.59,4.63,4.58,4.62,17541300,4.62
2017-01-24,4.62,4.69,4.60,4.67,21779700,4.67
2017-01-23,4.68,4.68,4.62,4.68,8760500,4.68
2017-01-20,4.75,4.77,4.71,4.76,6354100,4.76
2017-01-19,4.70,4.74,4.70,4.74,7646500,4.74
2017-01-18,4.69,4.74,4.68,4.69,6642200,4.69
2017-01-17,4.75,4.77,4.70,4.74,9081500,4.74
2017-01-13,4.77,4.80,4.71,4.75,17184200,4.75
2017-01-12,4.70,4.71,4.66,4.70,15197600,4.70
2017-01-11,4.78,4.78,4.74,4.78,8949800,4.78
2017-01-10,4.85,4.86,4.81,4.84,7719500,4.84
2017-01-09,4.86,4.88,4.78,4.83,14554000,4.83
2017-01-06,4.93,4.99,4.90,4.92,15483800,4.92
2017-01-05,4.85,4.92,4.83,4.90,9872000,4.90
2017-01-04,4.80,4.85,4.79,4.84,10179100,4.84
2017-01-03,4.76,4.79,4.75,4.77,7594200,4.77
2016-12-30,4.87,4.88,4.78,4.81,12132700,4.81
2016-12-29,4.84,4.87,4.80,4.83,8727500,4.83
2016-12-28,4.86,4.86,4.78,4.80,7737600,4.80
2016-12-27,4.92,4.93,4.90,4.91,6408200,4.91
2016-12-23,4.84,4.89,4.83,4.88,9601000,4.88
2016-12-22,4.75,4.76,4.71,4.72,9568400,4.72
2016-12-21,4.96,4.99,4.67,4.76,29712200,4.76
2016-12-20,4.88,4.92,4.86,4.90,16179900,4.90
2016-12-19,4.93,4.94,4.87,4.89,13512100,4.89
2016-12-16,4.86,4.93,4.84,4.88,13025400,4.88
2016-12-15,4.71,4.77,4.68,4.72,13167800,4.72
2016-12-14,4.74,4.80,4.70,4.70,15046300,4.70
2016-12-13,4.70,4.79,4.70,4.74,12142100,4.74
2016-12-12,4.61,4.67,4.60,4.63,15786400,4.63
2016-12-09,4.60,4.65,4.58,4.62,12008700,4.62
2016-12-08,4.63,4.65,4.56,4.58,22219200,4.58
2016-12-07,4.62,4.73,4.61,4.70,17693900,4.70
2016-12-06,4.54,4.60,4.51,4.57,17922100,4.57
2016-12-05,4.33,4.51,4.32,4.51,18405700,4.51
2016-12-02,4.23,4.26,4.20,4.23,6850800,4.23
2016-12-01,4.30,4.31,4.25,4.25,6892300,4.25
2016-11-30,4.32,4.33,4.29,4.30,10132400,4.30
2016-11-29,4.27,4.31,4.26,4.29,6212700,4.29
2016-11-28,4.28,4.29,4.24,4.26,8109900,4.26
2016-11-25,4.34,4.36,4.31,4.33,8088400,4.33
2016-11-23,4.15,4.20,4.13,4.19,6472600,4.19
2016-11-22,4.17,4.20,4.16,4.19,7696800,4.19
2016-11-21,4.16,4.18,4.14,4.17,6048200,4.17
2016-11-18,4.20,4.21,4.15,4.16,6622300,4.16
2016-11-17,4.19,4.22,4.14,4.15,10605100,4.15
2016-11-16,4.10,4.16,4.10,4.12,13791500,4.12
2016-11-15,4.07,4.15,4.04,4.14,33554400,4.14
2016-11-14,4.32,4.33,4.28,4.31,12618900,4.31
2016-11-11,4.43,4.45,4.36,4.42,11774400,4.42
2016-11-10,4.48,4.53,4.45,4.49,11348300,4.49
2016-11-09,4.36,4.46,4.35,4.45,11156000,4.45
2016-11-08,4.42,4.45,4.37,4.44,10356500,4.44
2016-11-07,4.48,4.49,4.39,4.44,19537400,4.44
