Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,33.509998,33.73,33.349998,33.610001,419000,33.610001
2017-03-09,33.169998,33.549999,33.169998,33.32,297400,33.32
2017-03-08,33.220001,33.299999,32.880001,33.119999,455800,33.119999
2017-03-07,33.23,33.34,33.049999,33.25,435600,33.25
2017-03-06,33.099998,33.400002,32.779999,33.349998,536600,33.349998
2017-03-03,33.220001,33.360001,32.93,33.200001,317300,33.200001
2017-03-02,33.099998,33.439999,33.029999,33.220001,460500,33.220001
2017-03-01,33.09,33.240002,32.75,33.169998,616600,33.169998
2017-02-28,33.50,33.580002,32.950001,32.98,858600,32.864999
2017-02-27,33.43,33.57,33.18,33.50,382200,33.383186
2017-02-24,33.740002,33.799999,33.299999,33.48,503100,33.363255
2017-02-23,33.810001,34.02,33.360001,33.759998,440800,33.642278
2017-02-22,33.740002,33.869999,33.549999,33.830002,286900,33.712037
2017-02-21,33.650002,33.75,33.459999,33.650002,981800,33.532664
2017-02-17,33.740002,33.880001,33.50,33.540001,639700,33.423047
2017-02-16,34.099998,34.25,33.709999,33.959999,569300,33.841581
2017-02-15,33.759998,34.09,33.650002,34.02,414300,33.901373
2017-02-14,33.849998,33.939999,33.57,33.779999,417000,33.662208
2017-02-13,33.720001,33.810001,33.400002,33.669998,378000,33.552591
2017-02-10,33.139999,33.630001,33.139999,33.549999,378900,33.433011
2017-02-09,32.880001,33.259998,32.880001,33.130001,524400,33.014477
2017-02-08,33.119999,33.119999,32.59,32.959999,429500,32.845068
2017-02-07,33.150002,33.380001,32.900002,33.029999,463000,32.914823
2017-02-06,33.299999,33.310001,32.82,33.299999,612000,33.183882
2017-02-03,34.099998,34.900002,32.66,33.419998,1265400,33.303463
2017-02-02,33.720001,33.990002,33.130001,33.299999,787100,33.183882
2017-02-01,34.490002,34.490002,33.630001,33.75,502700,33.632314
2017-01-31,34.049999,34.330002,33.959999,34.27,364300,34.150501
2017-01-30,34.779999,34.970001,33.959999,34.07,426800,33.951198
2017-01-27,34.900002,34.900002,34.52,34.790001,534500,34.668688
2017-01-26,34.509998,34.849998,34.27,34.779999,507600,34.658721
2017-01-25,33.490002,35.07,33.16,34.27,624500,34.150501
2017-01-24,64.339996,66.349998,64.169998,66.029999,639800,32.899876
2017-01-23,63.560001,63.860001,62.950001,63.610001,552200,31.694097
2017-01-20,62.689999,63.610001,62.689999,63.400002,384000,31.589463
