Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,75.57,76.25,75.269997,75.790001,279900,75.790001
2017-03-09,76.07,76.93,75.139999,75.160004,579400,75.160004
2017-03-08,76.68,76.900002,76.010002,76.260002,260700,76.260002
2017-03-07,77.720001,77.989998,76.150002,76.440002,477400,76.440002
2017-03-06,77.809998,77.860001,76.919998,77.559998,601200,77.559998
2017-03-03,78.07,78.940002,77.57,77.970001,604300,77.970001
2017-03-02,78.720001,79.629997,78.150002,78.339996,443800,78.339996
2017-03-01,79.480003,79.739998,78.650002,79.32,514900,79.32
2017-02-28,77.959999,79.18,77.739998,78.919998,817200,78.919998
2017-02-27,78.459999,79.019997,78.279999,78.550003,419500,78.550003
2017-02-24,78.75,78.879997,78.160004,78.699997,652400,78.699997
2017-02-23,79.010002,79.480003,77.00,78.769997,1507200,78.769997
2017-02-22,81.639999,82.699997,77.900002,79.599998,3799600,79.599998
2017-02-21,86.330002,86.559998,84.709999,85.629997,866700,85.629997
2017-02-17,86.25,86.989998,85.169998,86.010002,466000,86.010002
2017-02-16,85.93,86.550003,85.660004,86.400002,333800,86.400002
2017-02-15,85.040001,86.300003,84.629997,85.940002,322500,85.940002
2017-02-14,83.800003,86.629997,83.510002,85.379997,554200,85.379997
2017-02-13,85.690002,85.919998,83.260002,83.860001,749300,83.860001
2017-02-10,84.440002,86.400002,84.169998,85.580002,476500,85.580002
2017-02-09,83.769997,85.660004,83.760002,84.470001,486400,84.470001
2017-02-08,82.00,84.00,81.580002,83.760002,505900,83.760002
2017-02-07,81.830002,82.989998,81.68,82.040001,415100,82.040001
2017-02-06,81.389999,81.790001,81.050003,81.75,472000,81.75
2017-02-03,81.919998,82.68,81.290001,81.400002,695900,81.400002
2017-02-02,82.599998,83.349998,81.720001,81.910004,832800,81.910004
2017-02-01,85.660004,86.550003,82.75,82.790001,344100,82.589999
2017-01-31,84.410004,85.400002,83.82,85.220001,291400,85.014129
2017-01-30,83.949997,84.900002,83.589996,84.709999,208000,84.505359
2017-01-27,84.93,85.82,83.879997,84.300003,221500,84.096353
2017-01-26,84.25,85.410004,84.25,84.720001,166500,84.515337
