Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,131.440002,131.600006,130.820007,131.389999,21854400,131.389999
2017-03-09,130.710007,131.020004,130.139999,130.839996,20786900,130.839996
2017-03-08,130.589996,131.149994,130.460007,130.740005,15731200,130.740005
2017-03-07,130.470001,131.080002,130.279999,130.509995,15446900,130.509995
2017-03-06,130.589996,130.949997,130.210007,130.729996,11980900,130.729996
2017-03-03,130.690002,131.059998,130.339996,131.020004,13177100,131.020004
2017-03-02,131.410004,131.429993,130.619995,130.779999,19929300,130.779999
2017-03-01,130.809998,131.679993,130.600006,131.440002,24398800,131.440002
2017-02-28,130.389999,130.449997,129.660004,130.020004,15021800,130.020004
2017-02-27,130.020004,130.429993,129.800003,130.419998,11974600,130.419998
2017-02-24,129.419998,130.259995,129.380005,130.259995,18567700,130.259995
2017-02-23,130.699997,130.699997,129.490005,130.009995,17445100,130.009995
2017-02-22,130.320007,130.589996,130.110001,130.50,11561300,130.50
2017-02-21,130.059998,130.529999,129.990005,130.449997,18450500,130.449997
2017-02-17,129.059998,129.820007,129.039993,129.809998,14775100,129.809998
2017-02-16,129.369995,129.630005,128.919998,129.25,15075400,129.25
2017-02-15,128.440002,129.350006,128.369995,129.289993,17119100,129.289993
2017-02-14,128.149994,128.539993,127.739998,128.529999,16287700,128.529999
2017-02-13,127.769997,128.259995,127.720001,128.100006,19016800,128.100006
2017-02-10,127.239998,127.559998,127.019997,127.379997,13649800,127.379997
2017-02-09,126.629997,127.239998,126.559998,126.959999,17495300,126.959999
2017-02-08,126.120003,126.68,125.879997,126.50,12421400,126.50
2017-02-07,126.089996,126.550003,125.970001,126.290001,17497600,126.290001
2017-02-06,125.470001,125.849998,125.349998,125.830002,11605400,125.830002
2017-02-03,125.449997,125.809998,125.330002,125.68,16928600,125.68
2017-02-02,125.209999,125.699997,124.860001,125.32,14967500,125.32
2017-02-01,125.449997,125.68,124.860001,125.43,22718500,125.43
2017-01-31,124.379997,124.599998,123.849998,124.57,18462400,124.57
2017-01-30,125.379997,125.379997,124.129997,124.82,24350600,124.82
2017-01-27,125.830002,125.919998,125.389999,125.800003,14495500,125.800003
2017-01-26,125.599998,125.82,125.339996,125.559998,15396100,125.559998
2017-01-25,124.959999,125.459999,124.849998,125.43,14966500,125.43
2017-01-24,123.589996,124.370003,123.379997,124.18,17557500,124.18
2017-01-23,123.169998,123.529999,122.57,123.349998,17339000,123.349998
2017-01-20,123.519997,123.830002,122.919998,123.25,20889000,123.25
2017-01-19,123.220001,123.650002,122.720001,122.980003,12592400,122.980003
2017-01-18,122.970001,123.160004,122.660004,123.040001,12436900,123.040001
2017-01-17,122.839996,123.029999,122.43,122.790001,14409100,122.790001
2017-01-13,122.800003,123.370003,122.800003,123.160004,15403200,123.160004
2017-01-12,122.489998,122.82,121.599998,122.739998,19262700,122.739998
2017-01-11,122.650002,122.93,122.019997,122.93,20596500,122.93
2017-01-10,122.379997,122.970001,122.099998,122.599998,16137300,122.599998
2017-01-09,122.029999,122.550003,121.949997,122.330002,18748000,122.330002
2017-01-06,121.00,122.25,120.690002,121.93,22548700,121.93
2017-01-05,120.099998,120.949997,120.099998,120.870003,20574200,120.870003
2017-01-04,119.669998,120.410004,119.660004,120.190002,19637900,120.190002
2017-01-03,119.309998,119.989998,118.889999,119.540001,22230600,119.540001
2016-12-30,119.940002,119.949997,118.139999,118.480003,40590400,118.480003
2016-12-29,119.860001,120.129997,119.330002,119.709999,12832100,119.709999
2016-12-28,121.080002,121.190002,119.800003,119.879997,17931300,119.879997
2016-12-27,120.459999,121.519997,120.410004,120.82,16048000,120.82
2016-12-23,119.919998,120.25,119.809998,120.199997,8985200,120.199997
2016-12-22,120.470001,120.50,119.650002,120.120003,16645000,120.120003
2016-12-21,120.599998,120.68,120.190002,120.459999,7079300,120.459999
2016-12-20,120.470001,120.769997,120.330002,120.550003,11461800,120.550003
2016-12-19,119.720001,120.830002,119.550003,120.089996,21138700,120.089996
2016-12-16,120.339996,120.580002,119.360001,119.599998,26283900,119.599998
2016-12-15,120.370003,121.110001,120.080002,120.400002,22762300,120.044999
2016-12-14,120.610001,121.00,119.860001,120.209999,28746000,119.855557
2016-12-13,119.32,121.110001,119.32,120.459999,54477900,120.10482
2016-12-12,118.970001,119.209999,118.470001,118.959999,23259300,118.609243
2016-12-09,119.010002,119.540001,119.00,119.50,21863100,119.147652
2016-12-08,118.410004,118.870003,118.18,118.57,18578400,118.220393
2016-12-07,116.620003,118.510002,116.290001,118.360001,26622400,118.011013
2016-12-06,116.93,117.080002,116.389999,116.879997,27293300,116.535374
2016-12-05,116.300003,117.059998,115.769997,116.599998,21419700,116.256201
2016-12-02,115.540001,116.160004,115.220001,115.699997,32876800,115.358853
2016-12-01,117.459999,117.470001,115.290001,115.470001,39796600,115.129535
2016-11-30,119.089996,119.129997,117.459999,117.50,30405300,117.153549
2016-11-29,118.639999,119.510002,118.300003,118.940002,18553000,118.589305
2016-11-28,118.650002,119.080002,118.410004,118.529999,13479000,118.18051
2016-11-25,118.559998,118.849998,118.419998,118.800003,7162800,118.449719
2016-11-23,118.510002,118.639999,117.900002,118.419998,22926000,118.070834
2016-11-22,119.010002,119.190002,118.610001,118.900002,18850600,118.549422
2016-11-21,117.610001,118.650002,117.57,118.540001,20268500,118.190483
2016-11-18,117.900002,118.099998,117.209999,117.32,16428700,116.974079
2016-11-17,116.849998,117.779999,116.610001,117.760002,20598600,117.412784
2016-11-16,115.669998,116.989998,115.669998,116.910004,16538100,116.565292
2016-11-15,115.50,116.620003,115.330002,116.220001,31796600,115.877324
2016-11-14,115.830002,115.940002,114.029999,114.629997,35906000,114.292008
2016-11-11,115.25,116.050003,114.839996,115.800003,41115200,115.458564
2016-11-10,118.220001,118.379997,114.199997,115.75,72825400,115.408709
2016-11-09,115.739998,117.839996,115.599998,117.650002,70234400,117.303108
2016-11-08,116.230003,117.639999,115.959999,117.110001,20777900,116.764699
2016-11-07,115.489998,116.470001,115.300003,116.349998,26591200,116.006938
2016-11-04,113.769997,114.540001,113.449997,113.650002,26997500,113.314902
2016-11-03,114.989998,115.370003,113.919998,114.050003,36205200,113.713724
2016-11-02,116.029999,116.300003,114.889999,115.18,26960100,114.840389
2016-11-01,117.190002,117.209999,115.099998,116.110001,23498700,115.767648
2016-10-31,117.529999,117.529999,116.93,116.989998,18749400,116.64505
2016-10-28,117.50,118.110001,116.739998,117.099998,35369300,116.754726
2016-10-27,118.889999,118.989998,117.669998,117.839996,19099800,117.492542
2016-10-26,118.419998,119.029999,118.029999,118.379997,20463700,118.030951
2016-10-25,119.639999,119.660004,119.010002,119.190002,20341800,118.838568
2016-10-24,118.910004,119.650002,118.889999,119.57,19143000,119.217445
2016-10-21,117.800003,118.220001,117.410004,118.150002,15707800,117.801634
2016-10-20,117.730003,117.970001,117.029999,117.709999,18132200,117.362928
2016-10-19,117.769997,118.019997,117.639999,117.849998,13702900,117.502515
2016-10-18,118.209999,118.410004,117.800003,117.860001,19276700,117.512488
2016-10-17,117.040001,117.300003,116.669998,116.82,14182700,116.475553
2016-10-14,117.580002,118.050003,117.07,117.139999,21313300,116.794609
2016-10-13,116.620003,117.32,115.940002,117.00,22821000,116.655023
2016-10-12,117.629997,117.82,117.059998,117.419998,14267800,117.073783
2016-10-11,119.120003,119.139999,117.00,117.519997,27774400,117.173486
2016-10-10,119.080002,119.480003,119.029999,119.220001,19687300,118.868478
2016-10-07,118.839996,119.010002,117.889999,118.470001,19984200,118.12069
2016-10-06,118.639999,118.980003,118.150002,118.730003,11987100,118.379925
2016-10-05,118.720001,119.169998,118.669998,118.790001,14481300,118.439746
2016-10-04,118.900002,119.160004,117.919998,118.370003,21239700,118.020986
2016-10-03,118.57,118.699997,118.089996,118.550003,19216400,118.200456
2016-09-30,118.150002,119.07,118.029999,118.720001,25543200,118.369953
2016-09-29,118.50,118.720001,117.330002,117.839996,27207500,117.492542
2016-09-28,118.650002,118.769997,118.089996,118.699997,14794300,118.350007
2016-09-27,117.260002,118.559998,117.150002,118.50,20238400,118.1506
2016-09-26,117.660004,117.800003,117.169998,117.339996,16403900,116.994017
2016-09-23,119.00,119.00,118.160004,118.330002,22213400,117.981103
2016-09-22,118.839996,119.220001,118.720001,119.089996,22614400,118.738857
2016-09-21,117.50,118.32,116.809998,118.150002,31546800,117.801634
2016-09-20,117.199997,117.480003,116.800003,117.00,18078600,116.655023
2016-09-19,117.589996,117.949997,116.550003,116.779999,16222900,116.43567
2016-09-16,117.220001,117.410004,116.709999,117.290001,27596500,116.944169
2016-09-15,115.870003,117.82,115.860001,117.639999,38521400,117.000003
