Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,60.529999,60.59,60.040001,60.34,491800,60.34
2017-03-09,60.75,60.900002,59.459999,59.869999,456200,59.869999
2017-03-08,60.439999,60.860001,60.259998,60.580002,487300,60.580002
2017-03-07,60.880001,61.049999,60.150002,60.509998,466000,60.509998
2017-03-06,60.959999,61.259998,60.689999,61.060001,407800,61.060001
2017-03-03,61.220001,61.639999,60.419998,61.080002,534500,61.080002
2017-03-02,61.349998,61.700001,61.060001,61.139999,635700,61.139999
2017-03-01,60.759998,61.50,60.310001,61.419998,498500,61.419998
2017-02-28,60.419998,60.650002,60.029999,60.389999,642400,60.389999
2017-02-27,60.18,60.880001,59.82,60.470001,343300,60.470001
2017-02-24,59.040001,60.27,58.540001,60.220001,706300,60.220001
2017-02-23,58.919998,59.759998,58.75,59.279999,595100,59.279999
2017-02-22,58.799999,59.169998,58.349998,58.580002,836800,58.580002
2017-02-21,58.830002,59.00,58.450001,58.540001,471800,58.540001
2017-02-17,58.889999,59.189999,58.360001,58.400002,850700,58.400002
2017-02-16,60.00,60.310001,58.560001,58.790001,804200,58.790001
2017-02-15,60.00,60.380001,59.82,59.990002,480000,59.990002
2017-02-14,59.860001,60.599998,59.740002,60.16,633300,60.16
2017-02-13,61.509998,61.669998,60.009998,60.209999,475500,60.209999
2017-02-10,60.540001,61.540001,60.150002,61.41,920100,61.41
2017-02-09,59.939999,60.779999,59.330002,60.099998,749900,60.099998
2017-02-08,60.00,60.470001,59.59,59.77,705700,59.77
2017-02-07,60.060001,60.959999,59.779999,60.110001,719500,60.110001
2017-02-06,59.869999,60.200001,59.529999,59.619999,542900,59.619999
2017-02-03,60.490002,60.610001,59.50,60.110001,657500,60.110001
2017-02-02,58.669998,62.310001,58.369999,60.400002,1763800,60.400002
2017-02-01,58.959999,59.630001,56.049999,58.23,2386300,58.23
2017-01-31,60.259998,61.93,59.419998,60.360001,1714100,60.360001
2017-01-30,57.889999,59.25,57.41,59.139999,1182100,59.139999
2017-01-27,57.700001,58.220001,57.209999,58.00,407100,58.00
2017-01-26,58.389999,58.610001,57.560001,57.650002,410600,57.650002
2017-01-25,57.790001,58.959999,57.669998,58.709999,660900,58.709999
2017-01-24,56.779999,58.52,56.709999,57.669998,1458300,57.669998
2017-01-23,55.560001,56.529999,55.549999,56.349998,687100,56.349998
2017-01-20,55.619999,56.220001,55.16,55.959999,434600,55.959999
2017-01-19,56.25,56.34,55.290001,55.369999,314100,55.369999
2017-01-18,56.439999,56.919998,55.540001,56.139999,428100,56.139999
2017-01-17,54.48,56.599998,54.48,56.57,852600,56.57
2017-01-13,55.080002,55.50,54.639999,54.709999,395200,54.709999
2017-01-12,54.150002,54.889999,53.650002,54.860001,733200,54.860001
2017-01-11,54.139999,54.919998,54.029999,54.41,505700,54.41
2017-01-10,54.09,54.470001,53.759998,54.110001,390300,54.110001
2017-01-09,55.040001,55.040001,53.799999,53.860001,512700,53.860001
2017-01-06,54.540001,55.66,54.040001,55.150002,479700,55.150002
2017-01-05,55.00,55.25,54.400002,54.450001,669000,54.450001
2017-01-04,54.84,55.48,54.610001,55.330002,702700,55.330002
2017-01-03,53.419998,54.68,53.169998,54.66,807100,54.66
2016-12-30,53.099998,53.389999,52.389999,52.619999,399500,52.619999
2016-12-29,52.849998,53.630001,52.779999,52.959999,234700,52.959999
2016-12-28,53.349998,53.59,52.790001,52.939999,299100,52.939999
2016-12-27,52.759998,53.549999,52.700001,53.349998,497400,53.349998
2016-12-23,52.889999,53.50,52.66,52.75,313100,52.75
2016-12-22,53.860001,53.860001,53.00,53.02,310600,53.02
2016-12-21,53.48,54.23,53.380001,53.700001,432000,53.700001
2016-12-20,53.18,53.650002,53.130001,53.650002,462800,53.650002
2016-12-19,53.080002,53.639999,52.830002,53.110001,466200,53.110001
2016-12-16,52.939999,53.299999,52.32,53.09,1264900,53.09
2016-12-15,54.799999,55.139999,52.77,53.599998,1138800,52.919999
2016-12-14,55.720001,56.290001,54.700001,54.830002,703800,54.134398
2016-12-13,56.23,56.380001,55.57,55.91,551800,55.200695
2016-12-12,55.759998,56.200001,55.360001,55.880001,480900,55.171077
2016-12-09,55.549999,55.950001,55.400002,55.790001,415200,55.082218
2016-12-08,55.82,56.00,55.549999,55.73,303100,55.022978
2016-12-07,55.349998,55.84,55.139999,55.77,425900,55.062472
2016-12-06,55.02,55.779999,55.009998,55.459999,560200,54.756403
2016-12-05,54.57,55.279999,54.43,55.220001,555300,54.51945
2016-12-02,54.639999,55.419998,53.91,54.189999,557900,53.502514
2016-12-01,55.310001,55.830002,53.900002,54.720001,805800,54.025793
2016-11-30,57.16,57.34,55.41,55.439999,985400,54.736656
2016-11-29,56.549999,59.150002,56.310001,57.740002,1848200,57.00748
2016-11-28,57.110001,57.459999,55.75,56.450001,870900,55.733845
2016-11-25,59.240002,60.50,59.09,59.279999,264100,58.52794
2016-11-23,59.00,59.209999,58.330002,59.169998,957400,58.419335
2016-11-22,60.23,60.23,59.09,59.110001,478000,58.360099
2016-11-21,59.189999,59.990002,58.860001,59.77,401300,59.011725
2016-11-18,59.169998,59.470001,58.73,58.900002,359000,58.152764
2016-11-17,58.360001,59.380001,58.099998,59.18,548900,58.42921
2016-11-16,58.560001,59.25,58.189999,58.27,478900,57.530755
2016-11-15,58.400002,59.509998,58.029999,58.77,475100,58.024412
2016-11-14,58.84,59.290001,58.119999,58.349998,601300,57.609738
2016-11-11,57.950001,58.860001,57.549999,58.610001,717700,57.866442
2016-11-10,60.50,60.689999,57.799999,58.029999,942600,57.293798
2016-11-09,59.740002,61.099998,58.82,60.00,833500,59.238807
2016-11-08,59.57,60.990002,59.189999,60.630001,245900,59.860815
2016-11-07,59.400002,60.639999,59.349998,60.220001,538900,59.456017
2016-11-04,58.360001,59.50,58.240002,58.279999,412400,57.540627
2016-11-03,58.970001,58.970001,58.279999,58.439999,356400,57.698597
2016-11-02,58.66,59.34,58.560001,58.700001,373100,57.9553
2016-11-01,59.619999,59.75,58.41,58.950001,406400,58.202129
2016-10-31,59.98,60.169998,59.27,59.52,368600,58.764897
2016-10-28,59.470001,60.419998,59.279999,59.75,256000,58.991979
2016-10-27,60.189999,60.279999,59.139999,59.41,383200,58.656292
2016-10-26,59.32,60.330002,59.32,59.98,399700,59.21906
2016-10-25,60.110001,60.459999,59.439999,59.619999,605300,58.863627
2016-10-24,61.380001,61.52,59.889999,60.50,540900,59.732464
2016-10-21,59.599998,61.00,59.50,60.669998,477900,59.900305
2016-10-20,61.110001,61.369999,59.599998,60.02,766200,59.258554
2016-10-19,63.330002,63.950001,60.400002,61.57,1633100,60.788889
2016-10-18,65.239998,65.300003,64.239998,64.57,806000,63.750829
2016-10-17,64.389999,64.730003,64.160004,64.32,312700,63.504001
2016-10-14,64.510002,65.099998,64.360001,64.470001,338900,63.652099
2016-10-13,63.889999,64.25,63.290001,64.139999,356600,63.326284
2016-10-12,64.330002,64.830002,64.080002,64.510002,270300,63.691593
2016-10-11,65.07,65.330002,63.779999,64.330002,568400,63.513876
2016-10-10,65.709999,66.300003,65.260002,65.330002,266100,64.501189
2016-10-07,66.360001,66.470001,64.980003,65.279999,406100,64.451821
2016-10-06,65.900002,66.50,65.599998,66.360001,414500,65.518121
2016-10-05,66.43,66.669998,66.080002,66.099998,698000,65.261417
2016-10-04,65.57,66.279999,65.339996,66.239998,662100,65.399641
2016-10-03,65.099998,66.379997,65.099998,65.470001,509200,64.639413
2016-09-30,64.970001,66.040001,64.559998,65.370003,636500,64.540683
2016-09-29,64.739998,65.129997,63.970001,64.379997,265900,63.563237
2016-09-28,64.540001,65.089996,63.990002,64.860001,350800,64.037151
2016-09-27,63.380001,64.400002,63.009998,64.330002,397200,63.513876
2016-09-26,63.959999,64.07,63.07,63.200001,288700,62.398211
2016-09-23,64.459999,64.809998,63.889999,64.309998,291900,63.494126
2016-09-22,64.169998,65.360001,63.630001,64.860001,768100,64.037151
2016-09-21,62.830002,63.689999,62.830002,63.400002,1367300,62.595674
2016-09-20,63.32,63.610001,62.459999,62.639999,410200,61.845314
2016-09-19,63.310001,64.239998,63.099998,63.299999,314800,62.496941
2016-09-16,63.290001,63.290001,62.349998,62.959999,619700,62.161254
2016-09-15,63.299999,64.269997,63.200001,64.230003,343900,62.743774
2016-09-14,63.189999,63.880001,63.009998,63.25,291300,61.786447
2016-09-13,63.66,64.07,62.43,63.279999,395800,61.815752
2016-09-12,63.029999,64.540001,62.810001,64.389999,285600,62.900068
2016-09-09,64.50,64.769997,63.50,63.529999,446500,62.059967
2016-09-08,65.290001,65.389999,64.75,65.209999,283200,63.701093
2016-09-07,65.129997,65.449997,64.790001,65.43,407200,63.916004
2016-09-06,65.650002,65.650002,64.900002,65.160004,261100,63.652255
2016-09-02,65.290001,65.510002,64.900002,65.349998,552500,63.837853
2016-09-01,65.540001,65.669998,64.510002,64.980003,370700,63.476419
2016-08-31,65.739998,66.160004,65.150002,65.529999,356900,64.013688
2016-08-30,65.940002,66.199997,65.470001,65.739998,211000,64.218828
2016-08-29,65.959999,66.360001,65.660004,66.050003,459100,64.52166
2016-08-26,65.870003,66.360001,65.110001,65.760002,328100,64.23837
2016-08-25,65.800003,66.059998,65.519997,65.690002,236100,64.16999
2016-08-24,66.419998,66.419998,65.519997,65.940002,414900,64.414205
2016-08-23,65.650002,66.900002,65.580002,66.720001,651400,65.176155
