Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,219.770004,219.770004,219.770004,219.770004,000,219.770004
2017-03-09,219.050003,219.050003,219.050003,219.050003,000,219.050003
2017-03-08,218.880005,218.880005,218.880005,218.880005,000,218.880005
2017-03-07,219.320007,219.320007,219.320007,219.320007,000,219.320007
2017-03-06,219.940002,219.940002,219.940002,219.940002,000,219.940002
2017-03-03,220.660004,220.660004,220.660004,220.660004,000,220.660004
2017-03-02,220.550003,220.550003,220.550003,220.550003,000,220.550003
2017-03-01,221.830002,221.830002,221.830002,221.830002,000,221.830002
2017-02-28,218.800003,218.800003,218.800003,218.800003,000,218.800003
2017-02-27,219.360001,219.360001,219.360001,219.360001,000,219.360001
2017-02-24,219.100006,219.100006,219.100006,219.100006,000,219.100006
2017-02-23,218.729996,218.729996,218.729996,218.729996,000,218.729996
2017-02-22,218.610001,218.610001,218.610001,218.610001,000,218.610001
2017-02-21,218.830002,218.830002,218.830002,218.830002,000,218.830002
2017-02-17,217.520004,217.520004,217.520004,217.520004,000,217.520004
2017-02-16,217.149994,217.149994,217.149994,217.149994,000,217.149994
2017-02-15,217.320007,217.320007,217.320007,217.320007,000,217.320007
2017-02-14,216.210007,216.210007,216.210007,216.210007,000,216.210007
2017-02-13,215.279999,215.279999,215.279999,215.279999,000,215.279999
2017-02-10,214.110001,214.110001,214.110001,214.110001,000,214.110001
2017-02-09,213.330002,213.330002,213.330002,213.330002,000,213.330002
2017-02-08,212.070007,212.070007,212.070007,212.070007,000,212.070007
2017-02-07,211.860001,211.860001,211.860001,211.860001,000,211.860001
2017-02-06,211.800003,211.800003,211.800003,211.800003,000,211.800003
2017-02-03,212.25,212.25,212.25,212.25,000,212.25
2017-02-02,210.710007,210.710007,210.710007,210.710007,000,210.710007
2017-02-01,210.570007,210.570007,210.570007,210.570007,000,210.570007
2017-01-31,210.460007,210.460007,210.460007,210.460007,000,210.460007
2017-01-30,210.649994,210.649994,210.649994,210.649994,000,210.649994
2017-01-27,211.919998,211.919998,211.919998,211.919998,000,211.919998
2017-01-26,212.089996,212.089996,212.089996,212.089996,000,212.089996
2017-01-25,212.240005,212.240005,212.240005,212.240005,000,212.240005
2017-01-24,210.550003,210.550003,210.550003,210.550003,000,210.550003
2017-01-23,209.179993,209.179993,209.179993,209.179993,000,209.179993
2017-01-20,209.740005,209.740005,209.740005,209.740005,000,209.740005
2017-01-19,209.029999,209.029999,209.029999,209.029999,000,209.029999
2017-01-18,209.789993,209.789993,209.789993,209.789993,000,209.789993
2017-01-17,209.380005,209.380005,209.380005,209.380005,000,209.380005
2017-01-13,210.009995,210.009995,210.009995,210.009995,000,210.009995
2017-01-12,209.619995,209.619995,209.619995,209.619995,000,209.619995
2017-01-11,210.070007,210.070007,210.070007,210.070007,000,210.070007
2017-01-10,209.460007,209.460007,209.460007,209.460007,000,209.460007
2017-01-09,209.460007,209.460007,209.460007,209.460007,000,209.460007
2017-01-06,210.210007,210.210007,210.210007,210.210007,000,210.210007
2017-01-05,209.410004,209.410004,209.410004,209.410004,000,209.410004
2017-01-04,209.570007,209.570007,209.570007,209.570007,000,209.570007
2017-01-03,208.330002,208.330002,208.330002,208.330002,000,208.330002
2016-12-30,206.570007,206.570007,206.570007,206.570007,000,206.570007
2016-12-29,207.529999,207.529999,207.529999,207.529999,000,207.529999
2016-12-28,207.580002,207.580002,207.580002,207.580002,000,207.580002
2016-12-27,209.289993,209.289993,209.289993,209.289993,000,209.289993
2016-12-23,208.820007,208.820007,208.820007,208.820007,000,208.820007
2016-12-22,208.539993,208.539993,208.539993,208.539993,000,208.539993
2016-12-21,208.899994,208.899994,208.899994,208.899994,000,208.899994
2016-12-20,210.669998,210.669998,210.669998,210.669998,000,209.416002
2016-12-19,209.880005,209.880005,209.880005,209.880005,000,208.630711
2016-12-16,209.460007,209.460007,209.460007,209.460007,000,208.213213
2016-12-15,209.820007,209.820007,209.820007,209.820007,000,208.571071
2016-12-14,209.00,209.00,209.00,209.00,000,207.755945
2016-12-13,210.699997,210.699997,210.699997,210.699997,000,209.445823
2016-12-12,209.300003,209.300003,209.300003,209.300003,000,208.054162
2016-12-09,209.520004,209.520004,209.520004,209.520004,000,208.272854
2016-12-08,208.289993,208.289993,208.289993,208.289993,000,207.050164
2016-12-07,207.820007,207.820007,207.820007,207.820007,000,206.582976
2016-12-06,205.080002,205.080002,205.080002,205.080002,000,203.85928
2016-12-05,204.380005,204.380005,204.380005,204.380005,000,203.16345
2016-12-02,203.179993,203.179993,203.179993,203.179993,000,201.97058
2016-12-01,203.100006,203.100006,203.100006,203.100006,000,201.89107
2016-11-30,203.809998,203.809998,203.809998,203.809998,000,202.596835
2016-11-29,204.309998,204.309998,204.309998,204.309998,000,203.093859
2016-11-28,203.990005,203.990005,203.990005,203.990005,000,202.775772
2016-11-25,205.039993,205.039993,205.039993,205.039993,000,203.81951
2016-11-23,204.240005,204.240005,204.240005,204.240005,000,203.024284
2016-11-22,204.059998,204.059998,204.059998,204.059998,000,202.845347
2016-11-21,203.610001,203.610001,203.610001,203.610001,000,202.398029
2016-11-18,202.110001,202.110001,202.110001,202.110001,000,200.906957
2016-11-17,202.559998,202.559998,202.559998,202.559998,000,201.354276
2016-11-16,201.600006,201.600006,201.600006,201.600006,000,200.399999
2016-11-15,201.869995,201.869995,201.869995,201.869995,000,200.668381
2016-11-14,200.320007,200.320007,200.320007,200.320007,000,199.127619
2016-11-11,200.320007,200.320007,200.320007,200.320007,000,199.127619
2016-11-10,200.600006,200.600006,200.600006,200.600006,000,199.405951
2016-11-09,200.190002,200.190002,200.190002,200.190002,000,198.998388
2016-11-08,197.979996,197.979996,197.979996,197.979996,000,196.801536
2016-11-07,197.139999,197.139999,197.139999,197.139999,000,195.96654
2016-11-04,192.860001,192.860001,192.860001,192.860001,000,191.712017
2016-11-03,193.169998,193.169998,193.169998,193.169998,000,192.02017
2016-11-02,193.960007,193.960007,193.960007,193.960007,000,192.805476
2016-11-01,195.210007,195.210007,195.210007,195.210007,000,194.048035
2016-10-31,196.539993,196.539993,196.539993,196.539993,000,195.370105
2016-10-28,196.570007,196.570007,196.570007,196.570007,000,195.399941
2016-10-27,197.169998,197.169998,197.169998,197.169998,000,195.99636
2016-10-26,197.75,197.75,197.75,197.75,000,196.572909
2016-10-25,198.100006,198.100006,198.100006,198.100006,000,196.920832
2016-10-24,198.850006,198.850006,198.850006,198.850006,000,197.666368
2016-10-21,197.910004,197.910004,197.910004,197.910004,000,196.731961
2016-10-20,197.929993,197.929993,197.929993,197.929993,000,196.751831
2016-10-19,198.179993,198.179993,198.179993,198.179993,000,197.000343
2016-10-18,197.720001,197.720001,197.720001,197.720001,000,196.543089
2016-10-17,196.520004,196.520004,196.520004,196.520004,000,195.350235
2016-10-14,197.110001,197.110001,197.110001,197.110001,000,195.93672
2016-10-13,197.070007,197.070007,197.070007,197.070007,000,195.896964
2016-10-12,197.679993,197.679993,197.679993,197.679993,000,196.503319
2016-10-11,197.440002,197.440002,197.440002,197.440002,000,196.264757
2016-10-10,199.919998,199.919998,199.919998,199.919998,000,198.729991
2016-10-07,199.009995,199.009995,199.009995,199.009995,000,197.825404
2016-10-06,199.649994,199.649994,199.649994,199.649994,000,198.461594
2016-10-05,199.550003,199.550003,199.550003,199.550003,000,198.362198
2016-10-04,198.610001,198.610001,198.610001,198.610001,000,197.427791
2016-10-03,199.580002,199.580002,199.580002,199.580002,000,198.392018
2016-09-30,200.210007,200.210007,200.210007,200.210007,000,199.018273
2016-09-29,198.630005,198.630005,198.630005,198.630005,000,197.447676
2016-09-28,200.490005,200.490005,200.490005,200.490005,000,199.296605
2016-09-27,199.399994,199.399994,199.399994,199.399994,000,198.213082
2016-09-26,198.110001,198.110001,198.110001,198.110001,000,196.930767
2016-09-23,199.809998,199.809998,199.809998,199.809998,000,198.620645
2016-09-22,200.970001,200.970001,200.970001,200.970001,000,199.773744
2016-09-21,199.660004,199.660004,199.660004,199.660004,000,198.471544
2016-09-20,197.509995,197.509995,197.509995,197.509995,000,196.334332
2016-09-19,197.449997,197.449997,197.449997,197.449997,000,196.274692
2016-09-16,197.449997,197.449997,197.449997,197.449997,000,196.274692
2016-09-15,198.199997,198.199997,198.199997,198.199997,000,197.020228
2016-09-14,196.179993,196.179993,196.179993,196.179993,000,195.012247
2016-09-13,196.279999,196.279999,196.279999,196.279999,000,195.111658
2016-09-12,199.169998,199.169998,199.169998,199.169998,000,197.984455
2016-09-09,197.119995,197.119995,197.119995,197.119995,000,195.09972
2016-09-08,202.080002,202.080002,202.080002,202.080002,000,200.008892
2016-09-07,202.520004,202.520004,202.520004,202.520004,000,200.444385
2016-09-06,202.50,202.50,202.50,202.50,000,200.424586
