Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,218.550003,218.559998,217.259995,218.169998,1819200,218.169998
2017-03-09,217.330002,217.839996,216.460007,217.410004,1634700,217.410004
2017-03-08,217.949997,218.199997,217.070007,217.179993,1782800,217.179993
2017-03-07,217.979996,218.330002,217.419998,217.639999,1742700,217.639999
2017-03-06,218.070007,218.649994,217.630005,218.300003,1530600,218.300003
2017-03-03,218.699997,219.089996,218.309998,218.979996,1765200,218.979996
2017-03-02,219.990005,220.020004,218.75,218.860001,1648100,218.860001
2017-03-01,218.899994,220.660004,218.869995,220.149994,3323800,220.149994
2017-02-28,217.339996,217.580002,216.720001,217.070007,2177200,217.070007
2017-02-27,217.320007,217.899994,217.020004,217.710007,1935400,217.710007
2017-02-24,216.220001,217.419998,216.160004,217.389999,1637700,217.389999
2017-02-23,217.539993,217.539993,216.300003,217.130005,1716600,217.130005
2017-02-22,216.720001,217.190002,216.550003,217.009995,1471400,217.009995
2017-02-21,216.320007,217.320007,216.25,217.110001,1893000,217.110001
2017-02-17,214.839996,215.839996,214.789993,215.839996,1450400,215.839996
2017-02-16,215.740005,215.899994,214.729996,215.509995,1920100,215.509995
2017-02-15,214.339996,215.889999,214.309998,215.679993,2046600,215.679993
2017-02-14,213.550003,214.589996,213.160004,214.589996,2241300,214.589996
2017-02-13,213.110001,214.00,213.070007,213.699997,1754900,213.699997
2017-02-10,212.130005,212.800003,212.009995,212.570007,1409500,212.570007
2017-02-09,210.520004,212.039993,210.520004,211.720001,1237100,211.720001
2017-02-08,210.25,210.610001,209.630005,210.520004,1096100,210.520004
2017-02-07,210.649994,210.839996,209.990005,210.25,1182300,210.25
2017-02-06,210.119995,210.539993,209.839996,210.199997,1345500,210.199997
2017-02-03,210.080002,210.729996,209.770004,210.639999,4264400,210.639999
2017-02-02,208.589996,209.399994,208.229996,209.089996,1657100,209.089996
2017-02-01,209.619995,209.860001,208.369995,209.00,2698200,209.00
2017-01-31,208.339996,208.970001,207.789993,208.970001,3783100,208.970001
2017-01-30,209.479996,209.520004,207.880005,208.979996,2782300,208.979996
2017-01-27,210.649994,210.759995,210.029999,210.25,1426100,210.25
2017-01-26,210.649994,210.899994,210.25,210.550003,2252400,210.550003
2017-01-25,209.979996,210.770004,209.789993,210.710007,2032400,210.710007
2017-01-24,207.860001,209.399994,207.75,208.970001,1938100,208.970001
2017-01-23,207.839996,208.210007,206.830002,207.649994,4585300,207.649994
2017-01-20,208.139999,208.699997,207.559998,208.130005,2082500,208.130005
2017-01-19,208.270004,208.429993,206.970001,207.460007,1650400,207.460007
2017-01-18,208.009995,208.220001,207.419998,208.160004,1978300,208.160004
2017-01-17,207.789993,208.210007,207.330002,207.720001,1690000,207.720001
2017-01-13,208.179993,208.779999,208.130005,208.460007,2725300,208.460007
2017-01-12,207.970001,208.190002,206.539993,208.050003,3244100,208.050003
2017-01-11,207.839996,208.509995,207.119995,208.509995,5677600,208.509995
2017-01-10,207.899994,208.820007,207.509995,207.919998,2188500,207.919998
2017-01-09,208.339996,208.479996,207.889999,207.949997,1695800,207.949997
2017-01-06,207.990005,209.089996,207.399994,208.610001,2189500,208.610001
2017-01-05,207.75,208.039993,207.009995,207.800003,2771600,207.800003
2017-01-04,207.199997,208.179993,207.119995,207.960007,4622400,207.960007
2017-01-03,206.679993,207.330002,205.559998,206.740005,4733700,206.740005
2016-12-30,206.369995,206.429993,204.509995,205.309998,4251000,205.309998
2016-12-29,206.100006,206.470001,205.509995,206.020004,1772700,206.020004
2016-12-28,208.00,208.070007,205.910004,206.059998,2228000,206.059998
2016-12-27,207.479996,208.149994,207.479996,207.699997,1817900,207.699997
2016-12-23,206.979996,207.220001,206.770004,207.190002,1278900,207.190002
2016-12-22,207.160004,207.240005,206.50,207.009995,1863700,207.009995
2016-12-21,209.059998,209.199997,208.570007,208.570007,1546600,207.274011
2016-12-20,208.919998,209.309998,208.679993,209.139999,3195300,207.840461
2016-12-19,208.100006,208.800003,207.929993,208.339996,2042000,207.045429
2016-12-16,208.820007,208.839996,207.550003,207.869995,3074000,206.578348
2016-12-15,207.720001,209.229996,207.580002,208.229996,2812500,206.936112
2016-12-14,208.839996,209.589996,206.979996,207.460007,4232900,206.170907
2016-12-13,208.529999,209.699997,208.470001,209.190002,2670200,207.890153
2016-12-12,207.919998,208.419998,207.339996,207.770004,2419600,206.478979
2016-12-09,207.020004,208.029999,206.979996,208.00,1972000,206.707545
2016-12-08,206.25,207.270004,205.949997,206.740005,2983000,205.45538
2016-12-07,203.449997,206.320007,203.300003,206.199997,2253900,204.918727
2016-12-06,203.169998,203.630005,202.639999,203.619995,2413300,202.354757
2016-12-05,202.639999,203.300003,202.419998,202.910004,2070500,201.649177
